word,canonical_lemma,frequency_21215,chinese_translation,source_type,nrc_category,vader_score,target_experience_object
fortunately,fortunately,58,幸运的是,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
flawless,flawless,58,无瑕的 / 完美的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
lush,lush,57,郁郁葱葱宜人的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
negative,negative,57,负面体验 / 消极评价,Direct NRC Included (N=358),Sadness (悲伤),-2.7,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
thankful,thankful,57,感激的 / 感恩的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
thoughtful,thoughtful,57,贴心周到的,Direct NRC Included (N=358),Trust (信任),1.6,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
glorious,glorious,56,壮丽辉煌的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,3.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
uncomfortable,uncomfortable,56,感到不适的 / 不安的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.6,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
fair,fair,55,公道的 / 划算的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
noisy,noisy,55,喧闹吵杂的,Direct NRC Included (N=358),Anger (愤怒),-0.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
remarkable,remarkable,54,卓越令人瞩目的,Direct NRC Included (N=358),Joy (喜悦),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
genuine,genuine,54,真诚的 / 地道的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cherish,cherish,54,珍视 / 珍惜铭记,Direct NRC Included (N=358),Joy (喜悦),1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
caring,caring,53,体贴入微关怀的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
trouble,trouble,52,麻烦 / 困扰,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
strong,strong,52,强烈的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gentle,gentle,52,平稳柔和的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
enthusiasm,enthusiasm,52,热情 / 积极性,Direct NRC Included (N=358),Joy (喜悦),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
appreciation,appreciation,52,感激 / 欣赏,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
disappointment,disappointment,51,失望 / 遗憾失落情绪,Direct NRC Included (N=358),Sadness (悲伤),-2.3,"4. Booking, Price & Value (行程预订与性价比)"
nicer,nicer,51,更美好/更亲切的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hoping,hoping,50,期盼 / 希望,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
happier,happier,50,更快乐的 / 更满意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
queasy,queasy,49,恶心反胃的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
seamless,seamless,49,流畅无缝无摩擦的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,"4. Booking, Price & Value (行程预订与性价比)"
satisfied,satisfied,49,感到满意的,Direct NRC Included (N=358),Joy (喜悦),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
delight,delight,48,欣喜 / 愉快,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
genuinely,genuinely,48,真诚地 / 确实,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
steady,steady,48,平稳的 / 稳健的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unexpected,unexpected,46,意想不到的惊喜,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sensitive,sensitive,46,敏感的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
easier,easier,46,更容易的 / 更省心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
warmly,warmly,46,温暖地 / 热情地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
terrible,terrible,46,可怕的 / 糟糕的,Direct NRC Included (N=358),Fear (恐惧),-2.1,"4. Booking, Price & Value (行程预订与性价比)"
decent,decent,45,尚可的 / 体面的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
friendliness,friendliness,45,友善 / 亲和力,Direct NRC Included (N=358),Joy (喜悦),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
loud,loud,45,吵闹的 / 噪音大的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
relax,relax,45,放松 / 放轻松,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
terrified,terrified,45,极度惊恐的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-3.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
happily,happily,44,快乐地 / 欣然,Direct NRC Included (N=358),Joy (喜悦),2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
quieter,quieter,44,更安静宁静的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
encouraged,encouraged,44,深受鼓舞的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
beautifully,beautifully,43,优美地 / 出色地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
calming,calming,42,令人平息平稳安心的（Calmness State）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
adventurous,adventurous,41,充满冒险刺激感的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
charming,charming,40,迷人讨喜的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
responsive,responsive,40,积极回应的 / 贴心的,Direct NRC Included (N=358),Trust (信任),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
touched,touched,40,深受感动的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
handle,handle,39,善于处理 / 掌控感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
enjoyment,enjoyment,39,乐趣 / 享受,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nicest,nicest,39,最美好的 / 最亲切的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worst,worst,39,最糟糕的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-3.1,"4. Booking, Price & Value (行程预订与性价比)"
unsafe,unsafe,39,感觉不安全的 / 担惊受怕的,Direct NRC Included (N=358),Fear (恐惧),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
greater,greater,38,更宏大震撼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hospitable,hospitable,38,殷勤好客的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pleasantly,pleasantly,38,令人愉快地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stress,stress,38,压力 / 紧张感,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.8,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
wonderfully,wonderfully,38,极其出色绝妙地,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worries,worry,38,担忧 / 挂虑,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hopefully,hopefully,37,怀着希望地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nicely,nicely,37,很好地 / 优雅地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cared,cared,37,得到无微不至关怀的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
delicious,delicious,37,美味愉悦的,Direct NRC Included (N=358),Joy (喜悦),2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
reliable,reliable,36,可靠的 / 可信赖的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
marvelous,marvelous,36,绝妙的 / 令人惊叹的,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
nauseous,nauseous,36,恶心晕车的,Direct NRC Included (N=358),Sadness (悲伤),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
humour,humour,35,幽默感,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
superior,superior,35,优越顶尖的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
picturesque,picturesque,35,风景如画的,Direct NRC Included (N=358),Joy (喜悦),1.6,1. Aerial Scenery & Nature Views (高空自然景观)
surprisingly,surprisingly,35,出乎意料赞叹地,Direct NRC Included (N=358),Surprise (惊喜),1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
humorous,humorous,35,幽默风趣的,Direct NRC Included (N=358),Joy (喜悦),1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bother,bother,35,打扰 / 烦扰,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
anxious,anxious,35,焦虑不安的 / 挂虑的,Direct NRC Included (N=358),Fear (恐惧),-1.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
anxiety,anxiety,34,焦虑 / 不安,Direct NRC Included (N=358),Fear (恐惧),-0.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
generous,generous,34,大方的 / 慷慨的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
romantic,romantic,34,浪漫惬意的,Direct NRC Included (N=358),Joy (喜悦),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sadly,sadly,34,令人遗憾地 / 悲伤地,Direct NRC Included (N=358),Sadness (悲伤),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worse,worse,34,更糟糕的,Direct NRC Included (N=358),Fear (恐惧),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hassle,hassle,33,麻烦 / 烦心事,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
overwhelming,overwhelming,33,铺天盖地震撼的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
airsick,airsick,33,晕机的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
skillful,skillful,32,技术精湛的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
reassured,reassured,32,感到安心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
turbulent,turbulent,32,颠簸不安的,Direct NRC Included (N=358),Fear (恐惧),0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
upfront,upfront,32,直率透明的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cute,cute,31,可爱宜人的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
economical,economical,31,划算实惠的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
breathtakingly,breathtakingly,30,令人屏息震撼地（Awe/Amazement Emotion）,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
kindly,kindly,30,体贴友善地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
stellar,stellar,29,璀璨顶尖级的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
pure,pure,29,纯粹的 / 纯净震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
interactive,interactive,29,互动性强的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
delighted,delighted,29,高高兴兴的,Direct NRC Included (N=358),Joy (喜悦),2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
convinced,convinced,29,深信不疑的 / 心服口服,Direct NRC Included (N=358),Trust (信任),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
chatty,chatty,29,健谈热情的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
gladly,gladly,29,乐意地 / 高兴地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unbelievably,unbelievably,29,难以置信地,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
serene,serene,28,宁静祥和的,Direct NRC Included (N=358),Trust (信任),2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
boring,boring,28,令人无聊乏味的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sad,sad,28,悲伤的 / 遗憾痛心的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
splendor,splendor,27,壮丽辉煌的奇观,Direct NRC Included (N=358),Joy (喜悦),3.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
peace,peace,27,宁静 / 和平,Direct NRC Included (N=358),Joy (喜悦),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
regrets,regrets,27,遗憾 / 后悔,Direct NRC Included (N=358),Class 2 Colloquial Superlative,-1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
aside,aside,27,撇开 / 排除,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
eager,eager,27,热切的 / 渴望的,Direct NRC Included (N=358),Joy (喜悦),1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
comforting,comforting,27,令人感到安慰抚慰的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bang,bang,26,物超所值（bang for buck）,Direct NRC Included (N=358),Fear (恐惧),0.0,"4. Booking, Price & Value (行程预订与性价比)"
basic,basic,26,基础的 / 简陋的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cramped,cramped,26,拥挤狭窄不适的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hate,hate,26,憎恨 / 讨厌,Direct NRC Included (N=358),Fear (恐惧),-2.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mesmerizing,mesmerizing,26,令人目眩神迷为之倾倒的,Direct NRC Included (N=358),Class 3 Low-Altitude Domain Lexicon (N=17),0.0,1. Aerial Scenery & Nature Views (高空自然景观)
upset,upset,26,感到沮丧难过的,Direct NRC Included (N=358),Sadness (悲伤),-1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
ill,ill,25,生病的 / 恶心呕吐的,Direct NRC Included (N=358),Fear (恐惧),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
laughing,laughing,25,欢声笑语 / 开心大笑,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bump,bump,25,颠簸不适的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
dangerous,dangerous,25,危险的,Direct NRC Included (N=358),Fear (恐惧),-2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
communicative,communicative,25,善于沟通的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inclement,inclement,24,恶劣的气候,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
magnificence,magnificence,24,壮丽震撼感,Direct NRC Included (N=358),Joy (喜悦),2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
impeccable,impeccable,23,无可挑剔的,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
talkative,talkative,23,健谈热情的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
horrible,horrible,23,极度糟糕可怕的,Direct NRC Included (N=358),Fear (恐惧),-2.5,"4. Booking, Price & Value (行程预订与性价比)"
tough,tough,22,严苛倒霉的,Direct NRC Included (N=358),Sadness (悲伤),-0.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
favourite,favourite,22,最喜爱的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
fearful,fearful,22,恐惧的 / 担心的,Direct NRC Included (N=358),Fear (恐惧),-2.2,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
lasting,lasting,22,持久的 / 深刻的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
talented,talented,22,才华横溢精湛的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
skeptical,skeptical,22,怀疑的 / 存疑的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),-1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
calmed,calmed,22,心情平静安稳下来的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
shining,shining,22,璀璨夺目的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
spoil,spoil,21,破坏 / 毁掉（好心情）,Direct NRC Included (N=358),Disgust (厌恶),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
unbeatable,unbeatable,21,无可比拟的 / 无敌的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
surprises,surprise,21,惊喜 / 意料之外,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
bummed,bummed,21,感到扫兴遗憾失落的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
refreshing,refreshing,21,令人神清气爽耳目一新的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mild,mild,21,轻微适度的（颠簸/舒适）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
successful,successful,20,成功的 / 满意的,Direct NRC Included (N=358),Joy (喜悦),2.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
mood,mood,20,心情 / 情绪,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
spiritual,spiritual,20,精神神圣的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cheerful,cheerful,20,欢快愉悦的,Direct NRC Included (N=358),Joy (喜悦),2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
amusing,amusing,20,风趣风趣令人发笑的,Direct NRC Included (N=358),Joy (喜悦),1.6,5. Overall Tourism Experience Appraisal (总体观光体验评价)
astonishing,astonishing,20,令人惊叹的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
comfy,comfy,19,舒适惬意的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,3. Flight Riding & Aircraft Feeling (飞行体感与机型)
awestruck,awestruck,19,充满敬畏震撼的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
chilly,chilly,19,寒冷不适的,Direct NRC Included (N=358),Negative Polarity Only (仅负向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
exquisite,exquisite,19,精美的 / 绝妙的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
touching,touching,19,令人动容流泪的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
suitable,suitable,19,合适的 / 满意的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
inspired,inspired,19,灵感大发 / 深受震撼的,Direct NRC Included (N=358),Joy (喜悦),2.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
handy,handy,18,实用的 / 贴心的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
haha,haha,18,哈哈（欢快情绪）,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
effective,effective,18,有效划算的,Direct NRC Included (N=358),Trust (信任),2.1,5. Overall Tourism Experience Appraisal (总体观光体验评价)
astounding,astounding,18,令人无比震撼惊叹的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
charm,charm,18,顺畅 / 令人满意,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
wondered,wonder,18,感到惊奇惊叹 (动词变体),Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
danger,danger,18,危险 / 威胁,Direct NRC Included (N=358),Fear (恐惧),-2.4,5. Overall Tourism Experience Appraisal (总体观光体验评价)
easiest,easiest,18,最省心的 / 最容易的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
chill,chill,18,惬意轻松的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
smart,smart,18,聪慧的 / 明智的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.7,5. Overall Tourism Experience Appraisal (总体观光体验评价)
secret,secret,18,秘境 / 私密独享感,Direct NRC Included (N=358),Trust (信任),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
honesty,honesty,18,真诚 / 诚信解说,Direct NRC Included (N=358),Trust (信任),2.2,"2. Pilot, Crew & Guide Service (飞行员与解说服务)"
witty,witty,18,风趣幽默的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
soothing,soothing,18,舒缓抚慰人心的,Direct NRC Included (N=358),Joy (喜悦),1.3,5. Overall Tourism Experience Appraisal (总体观光体验评价)
amazement,amazement,18,惊叹 / 惊奇,Direct NRC Included (N=358),Class 2 Colloquial Superlative,2.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
marvel,marvel,18,惊叹 / 奇迹,Direct NRC Included (N=358),Surprise (惊喜),1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
keen,keen,18,热情的 / 敏锐的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.5,5. Overall Tourism Experience Appraisal (总体观光体验评价)
hopes,hopes,17,期盼 / 希望,Direct NRC Included (N=358),Class 2 Colloquial Superlative,1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
valuable,valuable,17,珍贵的 / 有价值的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),2.1,"4. Booking, Price & Value (行程预订与性价比)"
energetic,energetic,17,精力充沛的,Direct NRC Included (N=358),Positive Polarity Only (仅正向),1.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
discomfort,discomfort,17,身体/心理不适感,Direct NRC Included (N=358),Sadness (悲伤),-1.8,5. Overall Tourism Experience Appraisal (总体观光体验评价)
cordial,cordial,17,热情亲切礼貌的,Direct NRC Included (N=358),Class 2 Colloquial Superlative,0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
overwhelmed,overwhelmed,17,被震撼/感动深深淹没的,Direct NRC Included (N=358),Sadness (悲伤),0.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sensational,sensational,16,绝佳轰动震撼的,Direct NRC Included (N=358),Joy (喜悦),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
worthy,worthy,16,非常值的 / 值得的,Direct NRC Included (N=358),Trust (信任),1.9,"4. Booking, Price & Value (行程预订与性价比)"
uncertain,uncertain,16,不确定的 / 顾虑的,Direct NRC Included (N=358),Fear (恐惧),-1.2,5. Overall Tourism Experience Appraisal (总体观光体验评价)
sudden,sudden,16,突然的 / 猝不及防的,Direct NRC Included (N=358),Surprise (惊喜),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
loving,loving,16,热爱的 / 充满了爱的,Direct NRC Included (N=358),Joy (喜悦),2.9,5. Overall Tourism Experience Appraisal (总体观光体验评价)
leery,leery,16,提防警惕 / 顾虑重重的,Direct NRC Included (N=358),Surprise (惊喜),0.0,5. Overall Tourism Experience Appraisal (总体观光体验评价)
