word,canonical_lemma,chinese_translation,emotion_category,affect_type,frequency_21215,review_count_21215,nrc_tags
painful,painful,痛苦的 / 令人难受的,Unclassified,E1_E2_Candidate,7,6,"anger, disgust, fear, negative, sadness"
panic,panic,恐慌 / 惊恐状态,Fear / Panic,E1_State (Direct Internal Affective State),7,6,"fear, negative"
powerful,powerful,强烈的 / 感人的,Unclassified,E1_E2_Candidate,7,7,"anger, anticipation, disgust, fear, joy, positive, trust"
reputable,reputable,信誉良好的,Unclassified,E1_E2_Candidate,7,7,"positive, trust"
ridiculous,ridiculous,荒谬的 / 离谱的,Unclassified,E1_E2_Candidate,7,7,"anger, disgust, negative"
serenity,serenity,宁静 / 祥和,Unclassified,E1_E2_Candidate,7,7,"anticipation, joy, positive, trust"
unhappy,unhappy,不高兴不满意的,Unclassified,E1_State (Direct Internal Affective State),7,7,"anger, disgust, negative, sadness"
unpleasant,unpleasant,令人不快令人难受的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,7,"disgust, negative, sadness"
weird,weird,古怪令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),7,7,"disgust, negative"
worrying,worry,令人担心的,Anxiety / Worry,E2_Appraisal (Stimulus/Service Attribute),7,7,"anticipation, fear, negative, sadness"
amaze,amaze,使惊叹 / 惊奇,Amazement,E2_Appraisal (Stimulus/Service Attribute),6,5,surprise
blind,blind,盲目的 / 视线受阻的,Unclassified,E1_E2_Candidate,6,6,negative
gratitude,gratitude,感激 / 感恩,Unclassified,E1_E2_Candidate,6,6,"joy, positive"
hug,hug,拥抱 / 温暖关怀,Unclassified,E1_E2_Candidate,6,5,"joy, positive, trust"
jovial,jovial,欢快风趣的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,"joy, positive"
precision,precision,精准靠谱的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),6,6,positive
reassurance,reassurance,令人放心的安抚感,Relief / Reassurance,E1_State (Direct Internal Affective State),6,6,"positive, trust"
relief,relief,轻松如释重负感,Relief,E1_State (Direct Internal Affective State),6,6,positive
timid,timid,胆怯害羞的,Fear / Nervousness,E1_State (Direct Internal Affective State),6,6,"fear, negative, sadness"
apprehension,apprehension,忧虑 / 疑虑不安,Anxiety / Fear,E1_State (Direct Internal Affective State),5,4,"fear, negative"
faultless,faultless,无可挑剔完美的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,"positive, trust"
gloomy,gloomy,阴沉的 / 沮丧的,Unclassified,E1_E2_Candidate,5,4,"negative, sadness"
joyful,joyful,充满喜悦欢快的,Unclassified,E1_State (Direct Internal Affective State),5,5,"joy, positive, trust"
luscious,luscious,秀美令人心旷神怡的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,"anticipation, joy, positive"
pity,pity,遗憾 / 同情怜悯,Pity / Sadness,E1_State (Direct Internal Affective State),5,5,sadness
scare,scare,吓人 / 引发恐慌的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),5,5,"anger, anticipation, fear, negative, surprise"
shock,shock,震惊 / 冲击,Surprise / Shock,E1_State (Direct Internal Affective State),5,5,"anger, fear, negative, surprise"
captivating,captivating,扣人心弦引人入胜的,Fascination / Awe,E2_Appraisal (Stimulus/Service Attribute),4,4,positive
frustrated,frustrated,感到沮丧的 / 挫败的,Unclassified,E1_State (Direct Internal Affective State),4,4,"anger, negative"
hungry,hungry,贪婪的（money hungry）,Unclassified,E1_E2_Candidate,4,4,"anticipation, negative"
irritating,irritating,令人烦躁恼火的,Annoyance / Irritation,E2_Appraisal (Stimulus/Service Attribute),4,4,"anger, disgust, negative"
nasty,nasty,令人厌恶的 / 恶劣的,Unclassified,E1_E2_Candidate,4,3,"anger, disgust, fear, negative, sadness"
ominous,ominous,不详的 / 不妙的,Unclassified,E1_E2_Candidate,4,3,"anticipation, fear, negative"
regretting,regret,感到后悔遗憾的,Regret,E1_State (Direct Internal Affective State),4,4,"negative, sadness"
tranquil,tranquil,清幽宁静的（Calmness/Serenity State）,Unclassified,E1_State (Direct Internal Affective State),4,4,"joy, positive"
tranquility,tranquility,宁静 / 平和,Unclassified,E1_E2_Candidate,4,4,"joy, positive, trust"
unfair,unfair,不公平的 / 冤枉的,Unclassified,E1_E2_Candidate,4,3,"anger, disgust, negative, sadness"
unfriendly,unfriendly,不友善的,Unclassified,E1_E2_Candidate,4,4,"anger, disgust, fear, negative, sadness"
wicked,wicked,太棒了 / 绝妙的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),4,4,"fear, negative"
beneficial,beneficial,有益的 / 有帮助的,Unclassified,E1_E2_Candidate,3,3,positive
candid,candid,坦率真诚的,Unclassified,E1_E2_Candidate,3,3,"anticipation, joy, positive, surprise, trust"
cheer,cheer,振奋 / 欢呼,Unclassified,E1_E2_Candidate,3,3,"anticipation, joy, positive, surprise, trust"
compassion,compassion,同理心 / 关切,Compassion,E1_State (Direct Internal Affective State),3,3,"fear, positive"
compassionate,compassionate,富有同理心体贴的,Compassion,E2_Appraisal (Stimulus/Service Attribute),3,3,positive
curiosity,curiosity,好奇心 / 探索欲,Unclassified,E1_State (Direct Internal Affective State),3,3,"anticipation, positive, surprise"
deaf,deaf,听而不闻冷漠的（fell on deaf ears）,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,negative
ecstasy,ecstasy,狂喜 / 极乐状态,Intense Joy,E1_State (Direct Internal Affective State),3,3,"anticipation, joy, positive"
guilty,guilty,内疚内疚感,Guilt,E1_State (Direct Internal Affective State),3,3,"anger, negative, sadness"
happiness,happiness,幸福快乐感,Unclassified,E1_State (Direct Internal Affective State),3,3,"anticipation, joy, positive"
harrowing,harrowing,令人触目惊心惊恐的,Fear / Dread,E2_Appraisal (Stimulus/Service Attribute),3,3,"fear, negative"
heartfelt,heartfelt,真挚的 / 出自内心的,Unclassified,E1_E2_Candidate,3,3,"joy, positive, sadness, trust"
horribly,horrible,糟糕恐怖地,Disgust / Distress,E2_Appraisal (Stimulus/Service Attribute),3,3,negative
incomprehensible,incomprehensible,难以理解令人困惑的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,negative
joking,joking,开玩笑的,Unclassified,E1_E2_Candidate,3,3,positive
marvelously,marvelously,奇妙极其出色地,Unclassified,E2_Appraisal (Stimulus/Service Attribute),3,3,"joy, positive"
overjoyed,overjoyed,欣喜若狂的,Joy,E1_State (Direct Internal Affective State),3,3,"joy, positive"
reassure,reassure,使人感到安心放心的,Relief / Reassurance,E2_Appraisal (Stimulus/Service Attribute),3,3,"positive, trust"
remorse,remorse,懊悔 / 悔恨,Regret / Guilt,E1_State (Direct Internal Affective State),3,3,"negative, sadness"
rickety,rickety,摇摇欲坠的,Unclassified,E1_E2_Candidate,3,3,negative
sickening,sickening,令人作呕恶心的,Disgust,E2_Appraisal (Stimulus/Service Attribute),3,3,"anger, disgust, fear, negative, sadness"
sympathy,sympathy,同情 / 体谅,Sympathy,E1_State (Direct Internal Affective State),3,3,"positive, sadness"
uneasiness,uneasiness,不安 / 忐忑感,Anxiety,E1_State (Direct Internal Affective State),3,3,"anticipation, negative, sadness"
unsettled,unsettled,心神不宁忐忑的,Uneasiness / Anxiety,E1_State (Direct Internal Affective State),3,3,"anger, disgust, fear, negative"
agreeable,agreeable,宜人的 / 令人满意的,Unclassified,E1_E2_Candidate,2,2,"positive, trust"
animated,animated,生动的 / 活力充沛的,Unclassified,E1_E2_Candidate,2,2,"joy, positive"
bothering,bothering,打扰令人烦心的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,"anger, negative, sadness"
clever,clever,聪明睿智的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,positive
compliant,compliant,顺从的 / 合规安心的,Unclassified,E1_E2_Candidate,2,2,positive
darling,darling,可爱的 / 亲切的,Unclassified,E1_E2_Candidate,2,2,"joy, positive, trust"
desperate,desperate,感到绝望迫切的,Unclassified,E1_State (Direct Internal Affective State),2,2,negative
humility,humility,谦逊贴心,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,1,"positive, trust"
offensive,offensive,冒犯的 / 令人不适的,Unclassified,E1_E2_Candidate,2,2,"anger, disgust, negative"
rigid,rigid,刻板不近人情的,Unclassified,E1_E2_Candidate,2,2,negative
squeamish,squeamish,胆怯恶心体质易受惊的,Unclassified,E1_State (Direct Internal Affective State),2,2,"disgust, fear, negative"
suffering,suffering,受苦受难不适,Unclassified,E1_State (Direct Internal Affective State),2,2,"disgust, fear, negative, sadness"
threaten,threaten,受到威胁/令人不安的,Unclassified,E2_Appraisal (Stimulus/Service Attribute),2,2,"anger, anticipation, fear, negative"
decency,decency,礼貌体面 / 服务缺乏礼貌体面,Unclassified,E2_Appraisal (Stimulus/Service Attribute),1,1,positive
dismay,dismay,感到沮丧吃惊,Disappointment / Distress,E1_State (Direct Internal Affective State),1,1,"anger, anticipation, fear, negative, sadness, surprise"
disrespectful,disrespectful,无礼的 / 冒犯的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, fear, negative, sadness"
gloom,gloom,阴郁忧伤,Sadness / Gloom,E1_State (Direct Internal Affective State),1,1,"negative, sadness"
grumpy,grumpy,脾气暴躁的 / 不悦的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, negative, sadness"
hazardous,hazardous,危险的 / 有隐患的,Unclassified,E1_E2_Candidate,1,1,"fear, negative"
hostile,hostile,敌意的 / 恶劣的,Unclassified,E1_E2_Candidate,1,1,"anger, disgust, fear, negative"
quell,quell,镇定 / 平息（恐惧）,Unclassified,E1_State (Direct Internal Affective State),1,1,negative
reward,reward,赏心悦目的奖赏体验,Unclassified,E1_State (Direct Internal Affective State),1,1,"anticipation, joy, positive, surprise, trust"
shady,shady,可疑不诚信的,Unclassified,E1_E2_Candidate,1,1,"fear, negative"
truthful,truthful,真实可信的,Unclassified,E1_E2_Candidate,1,1,trust
ungodly,ungodly,糟糕恶劣的,Unclassified,E1_E2_Candidate,1,1,"negative, sadness"
unwell,unwell,身体不适的,Unclassified,E1_E2_Candidate,1,1,"negative, sadness"
