word,chinese_translation,affect_type,stage_origin,frequency_2500,review_count_2500,example_context
magical,神奇的 / 魔幻般的,E1_E2_Candidate,Stage 1 (500 Discovery),14,14,"review_e01e7e33a2e53a8b8dad0eb6 :: This was the best part of our Alaskan cruise. The float plane trip was exceptional,  but the walk through the woods and viewing the bears from a platform was the most thrilling exp..."
safely,安全平稳地,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),14,14,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
unable,无法的 / 无能为力的,E1_E2_Candidate,Stage 1 (500 Discovery),14,13,"review_07a4d180b1c3927f6d90e08e :: Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They o..."
attentive,细心的 / 周到的,E1_E2_Candidate,Stage 1 (500 Discovery),13,12,review_50d0c427181c796477638983 :: Must do!  There were three retired couples in our group and the plane was the perfect size.  Viewed all the highlights of the island with an excellent pilot who provided an interes...
rushed,仓促的 / 匆忙的,E1_E2_Candidate,Stage 1 (500 Discovery),13,11,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
simple,简单明了的 / 省心的,E1_E2_Candidate,Stage 1 (500 Discovery),13,13,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
smoothest,最平稳的,E1_E2_Candidate,Stage 1 (500 Discovery),13,13,"review_5e434da02b38cf19550a807e :: There are a few things that set this trip apart for us;
1.) Our pilot, Chris, gave us one of the smoothest flights I have ever been on (sorry Delta).  I wasn't necessarily expectin..."
assured,安抚 / 确信,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),12,12,"review_5f25933d61b76b7852dc85ff :: We booked Seawind on the cruise dock since we were uncertain about the weather.  We were assured the views would be good at Misty Fiords, so off we went!  The shuttle to and from t..."
greatest,最伟大的 / 极佳的,E1_E2_Candidate,Stage 1 (500 Discovery),12,11,review_a59dc67812b2608297900b5b :: A really great way to see Mt. McKinley.   We were blessed with clear skies and a great pilot.   Incredible views of one of God's greatest creations....
prone,易患（晕机）的,E1_E2_Candidate,Stage 1 (500 Discovery),12,12,"review_2b9c272ff392f8ee6495f4ba :: It was an amazing, once-in-a-lifetime experience for me and my partner and we were so glad we chose to go with a plane instead of the helicopter tour. We were able to see all of th..."
queasy,恶心反胃的,E1_E2_Candidate,Stage 1 (500 Discovery),12,10,review_b143c99b79aada9945f9276a :: My husband and I traveled to Kauai for our 25th anniversary and scheduled a couple of things based on reviews that I read on Tripadvisor.  Everything positive we read about Wings O...
scary,令人害怕的 / 吓人的,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),12,12,review_300f9baf05912fc8f616fd90 :: We booked the private tour at 5:30. We got there at 4:45. (Booking says to get there 30 mins earlier.) When you get to the destination they have no office. They just get fuel from ...
sweet,甜蜜的 / 甜美的,E1_E2_Candidate,Stage 1 (500 Discovery),12,12,"review_d6633755ab0fe56676302484 :: This fixed wing circle island tour with Air Ventures was the highlight of our HI trip!  The views were awe inspiring, the narration extremely informative, comfort and safety an utm..."
confident,自信的 / 确信的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,review_3ba1137cb1b4e9207840a231 :: We found a really nice fishing experiance in Talkeetna.Starting with Molly the office manager to the pilots and guides. All were friendly and accomodating. Yes we did catch many fi...
enthusiastic,热情的 / 充满激情的,E1_E2_Candidate,Stage 1 (500 Discovery),11,10,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
grateful,感激的 / 感恩的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),11,10,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
luckily,幸运地 / 幸亏,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,review_ed42ef9dc4fa813cfcacdfdb :: My family of 4 did this tour last week and were beyond impressed.  We opted for Maverick because of their fleet of newer helicopters with ample windows spanning down to the floor i...
neat,整洁的 / 干练的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_ced58d8c691f443c16cbfe37 :: It was beautiful, couldn't see Denali but tried. The pilot was very knowledgeable about glaciers. Some of it was so technical I couldn't follow along but it was really neat. I get ..."
poor,贫乏的 / 差劲的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
pricey,昂贵的 / 偏贵的,E1_E2_Candidate,Stage 1 (500 Discovery),11,11,"review_f5ca1940bb4b3b4a6ade99fa :: Trip Advisor review

Our family group of 5 decided to take the Floatplane bear watching shore excursion.   It was a bit pricey but we expected it because you’re flying in a floatpl..."
expert,专家级的 / 娴熟的,E1_E2_Candidate,Stage 1 (500 Discovery),10,9,"review_442bd14270e4cf874af0ab43 :: Last year, Taquan (pilot Dave and guide Mark Phillips) did an excellent job at getting us to Anan Creek.  However, due to our ship's limited time in port last year, along with poor..."
fair,公道的 / 划算的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),10,10,"review_028c21bc90a0dfe1f6761d46 :: We chose plane due to size of the Grand Canyon. Very happy with the choice as plane gives better coverage. Yes you can get helicopter rides covering same distance, which are 2x the..."
genuine,真诚的 / 地道的,E1_E2_Candidate,Stage 1 (500 Discovery),10,9,"review_93b20d34356a3ffa721dd249 :: Flew with Bruce and my family of five, kids aged 12, 8 and 3.  All of the kids loved it, maybe not as much as my wife and I.  Bruce was very informative and genuine in his love for..."
peaceful,平和宁静的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_cd27921d3895fc595fd53af3 :: We so enjoyed this adventure.  It was a partly cloudy day but once in the fjords, there was a beautiful mist of clouds running through them.  The pilot had great commentary on the ..."
secure,安全的 / 安心的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),10,10,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
skillful,技术精湛的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
stress,压力 / 紧张感,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish. Before traveling to...
surreal,超现实的 / 梦幻般的,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of..."
thrill,刺激 / 震慑感,E1_E2_Candidate,Stage 1 (500 Discovery),10,10,"review_17e1e5a0467c1f5d4bc7b3e1 :: We took Taquan Air at the back end of an excursion to George Inlet Lodge. It was only a 20 minute flight and they flew, most likely, what they had been contracted with for our crab..."
accessible,易到达的 / 便捷省心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...
capable,有能力的 / 熟练精湛的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,"review_92808e0670a773acd1539ab9 :: Amazing unforgettable experience. Glacial landing is incredible and pilot is super capable and reliable. Would do this a million times. 
K2 has a long line checking in but were ver..."
excitement,兴奋 / 激动情绪,E1_E2_Candidate,Stage 1 (500 Discovery),9,8,"review_291988db94de25fedef72be3 :: My friend and I were in Kauai celebrating our 50th birthdays and wanted to do something memorable together. When our commercial plane arrived in Lihue, we saw this yellow bi-plane ..."
famous,著名的 / 享誉的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_6817a71966166352425fc30b :: Took a 70 minute flight with my two young daughters, the Gippsland GA8 (airvan) is a comfortable aircraft, each passenger has a bubble window suitable for photography, and cold bot..."
gracious,亲切和蔼的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,review_b3ad77a1bb49a5eb337a6bd2 :: We were blessed with a clear blue sky and a unlimited viewing of the ice fields and mountains in Denali. The pilot was gracious and accomplished. We had a glacier landing which was...
handle,善于处理 / 掌控感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,9,"review_a621d61d85c6d1941fd94167 :: Our Misty Fjords tour was a boat ride from Ketchican to the fjords, with a return by small plane.  The guides on the boat were informative and nice.  

The pilot seemed highly skil..."
negative,负面体验 / 消极评价,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),9,8,"review_94c0e25e28df8a8368c9de83 :: only negative thing was the late pick up. there was a delay of about forty minutes.
other than that the experience was great.
the seaplane was great, something we havent done befor..."
pride,自豪 / 骄傲,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),9,9,review_595866657b926f8591d80cf2 :: Plane tour (versus helicopter tour) over Kauai. Owner/operator picked us up and dropped us back off within a very short walking distance from Pride of America Cruise ship. Airport ...
prompt,及时迅速的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_9a6426dc1c3d9f04489aec57 :: We chose this company to do a flightseeing tour of Denali with glacier 
landing. They were very professsional, prompt in their responses when arranging the tour. I had no doubts as..."
promptly,及时迅速地,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_a49c3b4b417661efc807e243 :: Well, there really is a reason that this is rated number 1 for attractions and activities...there really is no downside.  Firstly, making a reservation by phone or online via their..."
unreal,如梦似幻的 / 震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),9,9,"review_6e26cab593dc66b15f99cf0a :: My favorite excursion so far in Alaska! Pilot Lou flew a smooth flight and landing on the glacier. I learned so much about how the glaciers, mountains and waterways were formed. He..."
convenient,便捷省心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),8,8,"review_57e504ac91381786433046cd :: Fantastic views and great experience! Easy, convenient to get to. Terrific, knowledge and friendly pilot. Do it!..."
delightful,令人欢欣的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,review_43ea85710b6216e626dd2867 :: Thanks Harry for a smooth flight and delightful information about the island.  The sights were spectacular. You can really see the differences of each side of the island.  My only ...
happily,快乐地 / 欣然,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,review_6a37a276cde42d2608622f3e :: I wish there were 10 stars...then I would give this trip an 11! An absolutely amazing experience. Flying over the forest to drop into the Grand Canyon literally took our breath awa...
impossible,不可能的 / 难以置信的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_0f3f96f0d8ddde5849fdb605 :: Never book with these people....  I made a reservation for September 30 and they said it was confirmed for Sept 23rd.  They never sent a confirmation, never got one and they called..."
interactive,互动性强的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_da5906a18a3d4524aa1c151f :: The flight was interactive, as if we were flying the plane, Eric informed us on history, geography, and cultural importance on the island...."
passion,热情 / 激情,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_00deb5b5ce64791d3809151f :: From check in to touch down, Wings Over Kauai was a highlight of our Hawaiian vacation (October 2019). It felt more “personal” than other helicopter tours we looked at. Being the o..."
positive,积极正面的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,review_b143c99b79aada9945f9276a :: My husband and I traveled to Kauai for our 25th anniversary and scheduled a couple of things based on reviews that I read on Tripadvisor.  Everything positive we read about Wings O...
safer,更安全的 / 更安心的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_65d0a54805e601aa5a524fcc :: This review is for the Grand Deluxe tour with Kauai by Air. The tour covers most of the standard spots in Kauai including Jurassic Falls, Napali, Waimea Canyon, etc. 

Experience (..."
steady,平稳的 / 稳健的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_6c89ecdf05add32f2e5cb9a7 :: I was able to squeeze in a quick tour at the end of a two-week trip after my flight home was delayed a day, and I'm glad that it worked out - this tour was one of the highlights of..."
strong,强烈的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
terrified,极度惊恐的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),8,7,"review_71241e031e521f6c6963b901 :: I am terrified of flying and was really dreading the Grand Canyon tour.
 As we drove to Boulder airport I was becoming more and more terrified. As I walked into the airport a lovel..."
uncomfortable,感到不适的 / 不安的,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),8,7,"review_af08902c4c1b7326756e9e93 :: In a nutshell, the views of Mckinley were stunning however the pilot, a gentleman from Pennsylvania, exhibited the height of rudeness. And no, I'm not misunderstood. He was blatant..."
understanding,体谅的 / 理解的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_b000df598ef420c3db6a55b4 :: We did a Denali explorer flight seeing tour with glacier landing on July 5.  I had originally had this excursion booked for three weeks prior to this date, but I came down with cov..."
worthwhile,值得的 / 划算的,E1_E2_Candidate,Stage 1 (500 Discovery),8,8,"review_9f9d62b99552657a136a55ab :: Part of our family vacation this year was an overnight trip to San Juan Islands, and what better way to get there and back than a seaplane!  This was awesome.  The flight is about ..."
appreciation,感激 / 欣赏,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),7,7,"review_2a67dff0977ab1e1a6ec02e2 :: Kauai really can only be appreciated in its entirety from the air.  Ellen's ""Wings Over Kauai"" accomplishes the mission with safety, competence, and a keen appreciation for the cus..."
aside,撇开 / 排除,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_5acad42fcb96595910c9a410 :: Got a call a couple days before our flight saying we'd booked through a third party and our seats were actually not available.  WRONG.  We booked directly on Mavericks website and ...
concerns,担忧 / 关切,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
disappointment,失望 / 遗憾失落情绪,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),7,7,"review_371d97ab086d05f4b8dd720f :: We had a wonderful family flightseeing trip with K2. Much to our and our kids' disappointment, our morning flight was initially cancelled because of smoke from forest fires. But K2..."
dramatic,戏剧性的 / 震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
fortunately,幸运的是,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_b4bead6114e21d906db86f66 :: Generally had a wonderful time.  There was clearly a miscommunication with our pickup and I had to call them to see where they were, we were picked up about 30-45 min late and then..."
friendliness,友善 / 亲和力,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_cee3f2a03829a94fe1a6a788 :: Nate was a great pilot...full of friendliness and information.  He and Ray weren't sure it was a good enough day to fly in terms of views so they let us decide if we wanted to go w...
genuinely,真诚地 / 确实,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_f225a6425587ab65f3221474 :: Had a great flight with Wings Over Kauai. I really liked the personal touches that Bruce and Ellen added.  When I arrived a was given a shell necklace and flower to wear behind my ...
ill,生病的 / 恶心呕吐的,E1_E2_Candidate,Stage 1 (500 Discovery),7,6,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
inaccessible,难以到达的 / 偏远秘境感,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),7,7,"review_49d3db9eba1fafce587178d0 :: Although we had to reschedule the tour to a morning due to high wind, this tour exceeds all my expectations. Canyonlands is notoriously inaccessible due to the lack of paved roads ..."
intimate,温馨亲切的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),7,7,"review_ccb25da07452abe3256cab6b :: I was in Kauai first week of Sept. with my wife for her 30th birthday!!!  Wanted to do a fly over of island.  Everyone suggested a helicopter, but I found it hard to pay $175 to $2..."
joy,喜悦 / 快乐,E1_State (Direct Internal Affective State),Stage 1 (500 Discovery),7,7,review_bed38cb5492cc85e5a6942a8 :: If you are in the front you get a panoramic view of the canyon but in the back you get a panoramic view of the front passengers. Its very unfair that Maverick charge the same price...
passionate,充满激情的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),7,6,"review_bcf320da42532060b35e73fc :: Absolutely incredible experience flying over the stunning landscapes of Kauai! From breathtaking views of the Na Pali Coast to the vibrant greenery of Waimea Canyon, every moment o..."
priceless,无价的 / 极为珍贵的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_bc094451a516daefa055857a :: This was one of the most unique experiences I have ever had! The flight from Phoenix to the Canyon was a bit nerve wracking, due to the small aircraft. Since there were only two of..."
pure,纯粹的 / 纯净震撼的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_a0e5554c9ea393f975ce70db :: Eric, my son, Tina his wife, and I were happy that we had added a Talkeetna Air Taxi flight that included a glacier landing to our itinerary. That flight was awesome to Mt. Denali,..."
quieter,更安静宁静的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),7,7,review_01d0b19d3759aa76d580639d :: Took a 1 hr flight around island of Kauai around noon with 4 other family members during our stay on 4/14/2010. So glad we decided to do this as a family. Saw so many waterfalls an...
responsive,积极回应的 / 贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_38eecdc173deef13e67fc314 :: The pilot was nice and informative. However, I was bit disappointed because the weather was not that great. However, they showed us video of snow mountains that we would see   just..."
sadly,令人遗憾地 / 悲伤地,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_5bc1dd064ce1bf7325638ddb :: A party of 4 of us took the Grand Voyager tour in June 2008. The cost for 4 people being nearly $1300. You would expect with that sort of price that your tour would be organise pro...
serene,宁静祥和的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_30a4fe165d7e3a55f8e3db95 :: Yes! (For more than just one reason!) My boyfriend and I were planning our trip to Alaska and this came up as one of the top rated attractions - for good reason. We knew we wanted ...
tremendous,震撼巨大的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_8526d5406704b59e5a5405e4 :: If anyone gets the chance to do the Grand Canyon, please do it. I took the family over this year and was simply amazing. To have my wife and kids there was simply incredible to say..."
worse,更糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,review_7279b58725f75f922479856e :: We arrived for our pre booked flight to be told that the weather coming in would effect the hour tour we had arranged and that our flight would have to be reduced from an hour to 3...
worst,最糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),7,7,"review_75cdb4112994bd19ab8118d1 :: Worst experience compared to every other tour we did in Kauai and big islands, they started 30 minutes late than actual time which was 4.30 pm, thus it made us late for our plans a..."
advantage,优势 / 极佳点,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),6,6,"review_c602155441c88a5da2dca24a :: Company was referred to us by another, who could not accommodate plus size. These folks picked up up at Anchor Cove Mall (free shuttle from cruise ship), fast ride to airport. 
Eri..."
anxiety,焦虑 / 不安,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_2a211e66566d9506094042c7 :: My family of 5 ranging in ages of 18 to 73 embarked on this amazing flight in March 2022.  I admit I was a bit nervous as flying can bring anxiety sometimes but Billy - our pilot w...
bother,打扰 / 烦扰,E1_E2_Candidate,Stage 1 (500 Discovery),6,5,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai. We picked this company for our air tour because of the great reviews. Although the flight was nice (Marcu..."
cared,得到无微不至关怀的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),6,6,"review_b2efaa9291444575c3c228d3 :: Had a beautiful flight aboard from Ketchikan, AK to Misty Fijords In a well cared for DeHaviland Beaver Airplane.  The entire staff at the Ketchikan office took very good care of u..."
communicative,善于沟通的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_e2845ef5222541befc6c35f8 :: We were lucky in our private flight over Denali to have clear skies, and it was the most incredible experience of our Alaska vacation.  There’s no way to describe it in words.  Our..."
complimentary,赞赏的 / 赠送贴心的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_417440d433c62ab1d44cb99c :: This was a last minute decision we made and we are ""so happy"" that we did fly with Seawind Aviation! The scenery and views were spectacular! The pilot was so nice and the staff inc..."
coolest,最酷爽震撼的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),6,6,review_bbb1066a4cdd83c8fff0d4a4 :: On my first trip to Alaska I had an amazing flightseeing trip with the folks at Talkeetna Air.  The flight and glacier landing were 2 of the coolest things I have ever done!...
cramped,拥挤狭窄不适的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),6,5,review_8405aa4c5aaa1a8476e0746a :: We took the Grand canyon Airlines scenic tours from the Papillon Helicopter rides.  We opted for the all day airplane ride vs the helicopter as we wanted to be able to walk around ...
dangerous,危险的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_d4fa1a7a54b252b2583388d6 :: Last week we did the seaplane tour of the Misty Fjords on Taquan Air Tours.  The views were spectacular.  However, breathing in diesel fumes while in-flight was not fun.  Anyway, a..."
delight,欣喜 / 愉快,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),6,6,"review_52d182aff567976e01729b2a :: Our first experience with small aircraft in Alaska was fantastic. The flight was so magnificent and the views defy description. Shiloh was our southern dream. From Jacksonville, he..."
easier,更容易的 / 更省心的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_65d0a54805e601aa5a524fcc :: This review is for the Grand Deluxe tour with Kauai by Air. The tour covers most of the standard spots in Kauai including Jurassic Falls, Napali, Waimea Canyon, etc. 

Experience (..."
encouraged,深受鼓舞的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),6,5,review_6d2e6bb73c4b8bc5c6d144b0 :: We were picked up at our cruise ship dock by a driver with a van and taken to the take-off site.  Senior pilot Mike took us on an approximately 70 minute round-trip into the fiords...
energetic,精力充沛的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_ef54bc7bc3c4866c7f29937f :: Tour guide was energetic, informative and funny! Got to experience more than just VNP. Great experience! Worth the price...."
enjoys,喜爱 / 乐在其中,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),6,6,"review_01a15aeaba8572c72e48282b :: We did so many amazing things during our time at the Grand Canyon, but this was by far the best.  Our pilot, Dave, was fantastic.  He really took the time to point out the many poi..."
fearful,恐惧的 / 担心的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
generous,大方的 / 慷慨的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_0491630540c44d4ef26eee75 :: This was my most spectacular experience ever flying over iconic sites in San Francisco Bay. Seaplane Adventures staff were kind and generous from the start to the end. The pilot wa...
happier,更快乐的 / 更满意的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_b10746883a2b8480528b3cec :: I booked this trip for my husband's birthday and I couldn't be happier! He loved the whole experience! Check in process was a breeze. Our pilot Sergio was very nice and gave us an ...
hassle,麻烦 / 烦心事,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_9f9d62b99552657a136a55ab :: Part of our family vacation this year was an overnight trip to San Juan Islands, and what better way to get there and back than a seaplane!  This was awesome.  The flight is about ..."
hesitation,毫不犹豫的 / 顾虑消除,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),6,6,"review_f3cad2d0d28657d2e80ee4d8 :: This was always going to rate highly for me. I love flying, I love nature, so I had high expectations. All of them were met and exceeded. 

Rivers, the pilot, was a professional th..."
hopefully,怀着希望地,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_300f9baf05912fc8f616fd90 :: We booked the private tour at 5:30. We got there at 4:45. (Booking says to get there 30 mins earlier.) When you get to the destination they have no office. They just get fuel from ...
loud,吵闹的 / 噪音大的,E1_E2_Candidate,Stage 1 (500 Discovery),6,5,"review_856d2aa6a78e7be940af3eac :: This was a once in a lifetime, amazing, beautiful experience. 

- the flight out of Scottsdale through the river valleys is beautiful.
- you get to see both north and south side of..."
marvelous,绝妙的 / 令人惊叹的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_3a07e05594205653b0fa7e73 :: Before  getting on a Cessna,  so worried about airplane sick,,,.
Never  nevver  happned  to me.  bit  hot  in a Cessna,  though.
Marvelous  outview,  Waimea,  Hanalei Bay,,,,  sple..."
nerves,紧张感 / 不安神经,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_8de5093de03f104bbd286daa :: If you're thinking of visiting the Grand Canyon this is not to be missed. I'm a nervous flyer so I was a little apprehensive about booking a helicopter flight but there was nothing...
peace,宁静 / 和平,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_f513ccad486e4e6b27890911 :: Unsurpassed professionals guiding you to a ""once in a lifetime opportunity"" to see both Sedona and The Grand Canyon from the comfort of an airplane.  Fire up the GoPro for this adv..."
pristine,原始纯净的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_ff7d45e6c2089a81ec29f19b :: We could not have been happier or more impressed with this family-run company. Completely professional from the pick-up point at our cruise dock to dropping us off again at the res...
responsible,负责任的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_06eb3f971b46e3be6f1a0796 :: Kim at Redtail was one of the most friendly and knowledgeable pilots I could have been lucky enough to fly with.  He is just one of those people who you really know loves everythin...
stable,平稳安心的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),6,6,"review_204946c26466eb6ee99eca6e :: I'd been hoping to rent a single engine airplane during our recent trip to Kauai.  I'm a private pilot, and my wonderful wife was looking for a way to see the island while allowing..."
successful,成功的 / 满意的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_ada23e30e9050b395a5e4949 :: I had done a flightseeing tour in Anchorage that was the highlight of my cruise ship trip to Alaska, that when we stopped in Ketchikan I wanted to do a seaplane tour as well.  This..."
terrible,可怕的 / 糟糕的,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
warmly,温暖地 / 热情地,E1_E2_Candidate,Stage 1 (500 Discovery),6,6,"review_65d0a54805e601aa5a524fcc :: This review is for the Grand Deluxe tour with Kauai by Air. The tour covers most of the standard spots in Kauai including Jurassic Falls, Napali, Waimea Canyon, etc. 

Experience (..."
airsick,晕机的,E1_E2_Candidate,Stage 1 (500 Discovery),5,5,"review_b4bead6114e21d906db86f66 :: Generally had a wonderful time.  There was clearly a miscommunication with our pickup and I had to call them to see where they were, we were picked up about 30-45 min late and then..."
