word,chinese_translation,affect_type,surface_forms,coarse_pos,frequency,review_count,example_context
exceptional,卓越的 / 杰出的（顶级评价）,E1_E2_Candidate,exceptional,ADJ,7,7,"review_4ed9789654d1231bc278b4e3 :: Exceptional sights of majestic peaks and valleys.
review_2323283c585daf50d725d5e4 :: Exceptional flight!
review_5c8c6ffd9af021cbb4bdebd5 :: Was an absolute amazing experience, with an exceptional staff.
review_59ec924af29a17c8a5e20d17 :: Kevin did an exceptional job at pointing out various landmarks and giving the history of the island.
review_9b9e6f556431a38c9b5abc2d :: It is worth it because the landscapes are exceptional and spectacular."
grateful,感激的 / 感恩的,E1_State (Direct Internal Affective State),grateful,ADJ,7,6,"review_2a211e66566d9506094042c7 :: The time went by so quickly and we are grateful we had the opportunity to experience these mountains upclose and see the glaciers from above.
review_4c3059afbf351cb362a2bb8e :: It was hands down one of the most splendid and stunning adventures I have had in my long lifetime and I am grateful for having taken it with Air Ventures.
review_9a6426dc1c3d9f04489aec57 :: I realize that these pilots probably do this four times a day and I am grateful for the technical expertise, but for us it was a “once in a lifetime trip” .
review_7279b58725f75f922479856e :: ee whether it would clear but when the weather become worse (in fact it made the press here in the UK as a weather phenomenon) they swiftly got us up in the air to view the Grand Canyon and we are so grateful that we got to experience the Canyon from this angle.
review_08a1266019d5bdefaaae7598 :: So grateful for this tour."
magnificent,壮丽的 / 宏伟震撼的（Awe）,E2_Appraisal (Stimulus/Service Attribute),magnificent,ADJ,7,7,"review_8b4c172e7b644d8c4b931cc0 :: From here it was a magnificent early morning flight to a floating pontoon in the Tongrass National Forest.
review_1a40b7366c1df323a2059968 :: The views were stunning and truly magnificent.
review_fea58727faaa3a0887fe14ea :: Of course the views were absolutely magnificent.
review_4ec20f3edcbca09024bdd5ca :: Landed at a location with magnificent views of McKinley.
review_53ff5143a41d862350d136a5 :: It was utterly magnificent."
comfort,舒适 / 宽慰安心,E1_E2_Candidate,comfort,NOUN,6,6,"review_7e4c769eacb09e8be1a32d03 :: accomodative to our needs - its been a great comfort to work with them - from extra time flying over city highlights, to circling whales when they show up on our route, to scheduling times - we appreciate their personal, family approach Todd
review_d6633755ab0fe56676302484 :: The views were awe inspiring, the narration extremely informative, comfort and safety an utmost concern.
review_794213f1ad4da1e5287e8990 :: He really does keep the passenger's comfort and enjoyment in mind at all times and knows the island very well.
review_4252c374520394a13c38d9d5 :: Before leaving the ground, the flight operator/pilot's main focus was safety and comfort.
review_f513ccad486e4e6b27890911 :: Unsurpassed professionals guiding you to a ""once in a lifetime opportunity"" to see both Sedona and The Grand Canyon from the comfort of an airplane."
fully,完全地 / 充分地,E1_E2_Candidate,fully,ADV,6,6,"review_71241e031e521f6c6963b901 :: After I checked in she came back, sat down next to me, explained that the plane is very safe, the pilots are fully qualified, if the conditions aren't safe they won't fly etc.
review_a6ad668389d1d7c4c1ecda23 :: It's hard to imagine another way to so fully appreciate the size of the canyon, and our pilot was able to point out a variety of interesting facts while answering questions throughout.
review_008c37b18048f594b5fa1fe9 :: Fully recommend to everyone!
review_0f50928b644eab8e69fd4905 :: The grand tour was good but it would be nicer if the pilot would narrate the navigation during fly as it was depicted on their website pages how would be the navigation and what mountains and peaks would be covered as well as an handly print out of this navigation so customer can enjoy the total journey fully instead of just seeing white glaciers from the top.
review_d0404a95bc0e1d80125e1421 :: Fully recommending everyone who want spend time in the sky with love of your life with glass of champagne."
grand,宏大的 / 壮丽的,E1_E2_Candidate,grand,ADJ,6,6,"review_5a026e7a079885b0a8041d9e :: My husband and I booked the grand Denali tour.
review_b4e21de5e1f75713d8c046cc :: It really helped us to understand how massive the area is and how small we are in the grand skeem of things.
review_2550a6c834378febe4d83d9e :: The 45 min flight through the grand canyon is mind blowing.
review_0f50928b644eab8e69fd4905 :: The grand tour was good but it would be nicer if the pilot would narrate the navigation during fly as it was depicted on their website pages how would be the navigation and what mountains and peaks would be covered as well as an handly print out of this navigation so customer can enjoy the total journey fully instead of just seeing white glaciers from the top.
review_bf1fb727261e898751e14529 :: We took the 830am grand Denali trip."
perfectly,完美地 / 无可挑剔地,E1_E2_Candidate,perfectly,ADV,6,6,"review_a7368b502923fca015488011 :: My boyfriend and I went together, he’s 6’8 and we were a little nervous about his size, but he fit perfectly and we had the best time!
review_c39dc7379a12552fa62d8ddd :: I had to change the dates of our trip twice following a knee injury and the telephone staff handled this perfectly.
review_1abcbc85e601f91ee16e3669 :: The weather was perfectly clear.
review_a15b565f6bbac9f317cc2336 :: Everything worked perfectly- from start to finish.
review_e260da5ed867253b4fc60778 :: We turned back to Canyonlands airport, and after the weather had cleared we flew back up there and had a perfectly smooth landing."
quiet,宁静的 / 幽雅安静的,E1_E2_Candidate,quiet,ADJ,6,6,"review_30a4fe165d7e3a55f8e3db95 :: Landing on the glacier was really cool, as was walking around in a couple of feet of snow on the most quiet and serene place I've ever been.
review_da9fe4b5f3a172a9954785e5 :: Our pilot, Quincy, allayed all my fears with his quiet confidence and then very obvious expertise,
review_ff7d45e6c2089a81ec29f19b :: The flight itself was spectacular with sights that pictures simply cannot do justice and the chance to spend some quiet moments on a small island in what must be one of the most pristine and beautiful places on the planet is beyond words.
review_a158a996fb85a211763435ea :: but he was very quiet.
review_b143c99b79aada9945f9276a :: As my husband and I waited for our flight another group from a different tour company returned from a flight and they were very quiet and no real interaction with each other."
ready,准备就绪的 / 心安的,E1_E2_Candidate,ready,ADJ,6,6,"review_082e1f27aa3bb895882c5db8 :: We waited a few minutes for the pilot to get the plane ready and we were off.
review_feb8e8b8f877bcebb986186f :: Once everyone was ready we were taken out to an Otter plane and could pick out the seats we wanted.
review_f486131a76d495cf9d39fbf2 :: She then got us ready in the plane (cooler with drinks, seat belt, window etc).
review_fe616bc09c7b1a7ab721c000 :: The day of the tour, thankfully, was nice just when we were ready to go out and the views are seriously breathtaking.
review_6e1b32b84859070da88e0d06 :: The terminal/main building is very nice and it is a comfortable easy place to relax until your ride is ready."
welcome,受欢迎的 / 感受温暖的,E1_E2_Candidate,welcome,ADJ|NOUN,6,6,"review_cbe4d099bc688920d0a3a2b9 :: I did not feel at all welcome or like they wanted or appreciated our business, unfortunate but true.
review_6d08b9c9f2dcd66a514602fa :: From the time that we arrived, the staff did everything possible to make us welcome and comfortable.
review_01947c281697b80abc4bbfae :: Both Gy and Ellen make you feel very welcome and they are genuinely interested in each passenger.
review_b143c99b79aada9945f9276a :: The ladies get a lovely necklace and flower as a welcome gift.
review_9b9e6f556431a38c9b5abc2d :: The welcome made by a lovely lady and a very professional Jeff pilot, kind and reassuring."
wrong,出差错的 / 错误的（负面体验）,E1_E2_Candidate,wrong,ADJ,6,6,"review_782108ad97fa0d3252690e48 :: Acidently bookex yhe wrong mouth.
review_26ab44db3f0b749f3156aee3 :: You can't go wrong with K2.
review_59aead5d2d7f0e535744a9c6 :: We recently went on the this tour and our gps for Uber sent us completely in the wrong way so important in Miami to put every detail of the address!
review_9f9d62b99552657a136a55ab :: There was an error made in our reservation that had the wrong return date, which we didn't realize until they called us to see why we didn't show up.
review_dc71022ec47fe7e7dad91e8d :: They have given me a 50% refund, but still blame me for having the ""wrong expectations"", and my spine is still painful."
awe,敬畏 / 震撼,E1_State (Direct Internal Affective State),awe,ADJ|NOUN,5,5,"review_7b76705a2666fc9f007a68b5 :: The flight up to and around Denali was awe-inspiring, we saw all of the glaciers and Chris, our pilot, pointed out the trail that the climbers use and much more.
review_d6633755ab0fe56676302484 :: The views were awe inspiring, the narration extremely informative, comfort and safety an utmost concern.
review_fab70dd8dd9c0a8097ecceea :: The glacier landing was definitely a must do and I was definitely in awe.
review_e8dd7bda2152a71502ffa8b8 :: Sunny, warm, awe inspiring trip!
review_50087c058cc38daa21b82926 :: ” No words can appropriately describe this awe inspiring experience."
cheaper,更实惠的 / 较便宜的,E1_E2_Candidate,cheaper,ADJ,5,5,"review_8f5e0f00afe0371683965f83 :: :) And the $120 price point was much cheaper than the price point the helicopter tours were charging.
review_bfe1fe6daa085ed9bbdf7cc7 :: My family and I decided to go with Wings over Kauai mainly because it was cheaper.
review_50ad674985c5646672bc62e8 :: Much cheaper and really easy to do, they are really easy to deal with directly and are happy to answer your email questions.
review_c3f460d4aaa80dae038e0054 :: The price point was great cheaper than a helicopter and not so noisy.
review_526dbe35e33d3c3d784cc127 :: This was significantly cheaper than comparable but shorter helicopter flight I have been on with better viewing (my opinion) and more relaxed atmosphere."
courteous,礼貌的 / 谦逊有礼的,E1_E2_Candidate,courteous,ADJ,5,5,"review_f1afb11c14a20df3c0e654e1 :: The K2 Staff is incredibly relaxed, courteous, and well organized.
review_c39dc7379a12552fa62d8ddd :: The ground staff were exceptionally professional and courteous and we were given a full refund on the unused portion.
review_4252c374520394a13c38d9d5 :: His courteous and easy going style made this trip enjoyable, interesting, and fun.
review_020573619527477a45cf4db3 :: The company runs a first class business and all the staff is friendly and courteous as well as very professional!
review_664738e3d114edf745798f44 :: courteous service, nice plane, safe, spectacular views!"
exactly,精准地 / 正是,E1_E2_Candidate,exactly,ADV,5,5,"review_a16674769364bddb39438f8b :: But when I was recently surprised with a Westwind adventure to the Grand Canyon, that’s exactly what happened.
review_10e68422b6a984d268d5ab67 :: Exactly the tour I wanted - as a solo traveler got to sit in the right-hand seat with two other couples behind us - after departing the airport you do a (general) clockwise circle around the island affording
review_ca8ea4ee597e5bcde73dd076 :: Little windy and a little bumpy, but he explained exactly where and when we would experience turbulence.
review_5acad42fcb96595910c9a410 :: We booked directly on Mavericks website and paid the retail price exactly so this would not happen, even scheduled at the very beginning of our 2 day trip in case something happened and a reschedule was necessary.
review_53ff5143a41d862350d136a5 :: What it is exactly that takes 20 minutes, I'll never know !"
excited,兴奋的 / 激动的,E1_State (Direct Internal Affective State),excited,VERB|ADJ,5,5,"review_291988db94de25fedef72be3 :: We were so excited to be doing this flight, but Kevin made it even more exciting for us.
review_aad1475f0d24f59cc1b5bc8b :: I booked a flight with Friday Harbor Seaplanes from San Juan Island to Seattle, I was excited for the adventure & thought a flight on a seaplane would be a fun way to end my trip to the San Juan Islands, it turned out to be 1 of the highlights of my trip!
review_a56c790aee69c2829442e4c8 :: He was just as excited as the rest of us.
review_767bec68b932ffbf60702af0 :: The day of our flight was finally here and we were excited.
review_8bad3b1acba5cdfb503049e9 :: 2 children were very excited."
flexible,灵活的 / 弹性的,E1_E2_Candidate,flexible,ADJ,5,5,"review_8b4c172e7b644d8c4b931cc0 :: It’s a risk but if you are flexible this is a great option.
review_bd821a97ad719aeeebde185a :: The reservation process was easy and they were very flexible in order to accommodate our schedule.
review_d91761b1b401f84f5f5072f8 :: Need to be flexible or understand that the weather can change and your trip will be canceled.
review_3d455acb96b23304d8dd0f88 :: We knew that we would have to be flexible with the weather but we were hopeful things would work out.
review_b000df598ef420c3db6a55b4 :: I really appreciate how flexible and accommodating they were in this uncertain travel time that we are living in with Covid."
forward,期待（look forward）,E1_E2_Candidate,forward,ADV,5,5,"review_52acbf242c938fb33187635a :: Over all I highly recommend K2 Aviation and look forward to flying with them again on a return visit to Alaksa!
review_6c89ecdf05add32f2e5cb9a7 :: I can't recommend this highly enough - I'll remember my flight for the rest of my life and am already looking forward to a future opportunity to re-live it.
review_0007fe1c2b3216a8645c4245 :: After being in Alaska for about a week, we were really looking forward to our float plane ride - as we had already seen so many fly by.
review_4511d8eaf3229db4ead0a471 :: We were very much looking forward to this tour when we booked it from Holland America.
review_b7057b38356e6f4a373a9626 :: I found the tour on trip adviser and after a couple of emails back and forward between Australia and Arizona we knew that this was the trip of a lifetime."
honest,诚实的 / 坦诚的,E1_E2_Candidate,honest,ADJ|NOUN,5,4,"review_767bec68b932ffbf60702af0 :: When we arrived for check in, they were extremely honest, that the weather was deteriorating, and they could not fly the flight we had booked.
review_767bec68b932ffbf60702af0 :: They offered an alternate flight for a reduced rate but were very honest of what we would or would not be able to see.
review_65d0a54805e601aa5a524fcc :: Our initial conversation during the data gathering and reservation was candid, honest and direct without any high-pressure sales.
review_b6566a20ab2c573fdf5f18b8 :: She was honest and forthcoming.
review_58ba87f9326f017e0b3399ae :: I am sure there are other much better companies that would provide honest and safe services."
impossible,不可能的 / 难以置信的,E1_E2_Candidate,impossible,ADJ,5,5,"review_fd7ebcc7f5e93d96ece3c7ac :: The colors of the rocks and formations are just impossible to describe, go see it!
review_bbf12aaf52ffd1f8f514701a :: K2 and Chris gave us a phenomenal experience, so good that even my young adult children who are impossible to impress were blown away.
review_0f3f96f0d8ddde5849fdb605 :: I don t arrive to Las Vegas till Sept 27 --- Thus impossible to make the reservation on the 23rd.
review_53ff5143a41d862350d136a5 :: It's impossible to convey the sheer scale and magnitude and it was so humbling to fly over it, through it and around it.
review_e260da5ed867253b4fc60778 :: This particular morning was quite challenging in terms of the weather conditions and the extreme crosswinds made it impossible to land and made for quite a bumpy ride."
impressive,令人印象深刻的,E1_E2_Candidate,impressive,ADJ,5,5,"review_a7368b502923fca015488011 :: Also Eric was the best overall and his landing and knowledge was impressive!
review_254f46e4a5fb0f6c7e0c50cd :: I feel like more time could have been spent around west Maui , Molokai/Lanai and Molokini rather than Hanna, which is comparatively not that impressive.
review_19d221a29f91600b819edc7d :: The helicopter vantage is one that is impressive.
review_ada23e30e9050b395a5e4949 :: It is impressive to see their facility as they appear to be running a very successful tour company, I was disappointed to find out that the 2 hour tour, was not 2 hours flying, but rather 2 hours from the start of the shuttle at the port to return to the port.
review_54ae5b5d8364deffe47809c6 :: The walk up to the ptyroglyphs is eh, well, a few carvings on rock- not that impressive- but history I understand."
patient,耐心的 / 体贴的,E1_E2_Candidate,patient,ADJ,5,5,"review_98e74ad69a88380b69ce727c :: The tour guide Eric was not only friendly, knowledgeable, and patient, but also a skillful pilot.
review_af08902c4c1b7326756e9e93 :: He needs to be more patient and show more tolerance towards non-caucasian folks.
review_f636b160dcd5b8cb35245d33 :: They were very patient with our 13 yr old who was more interested in flying than the views and although he took more time chatting they happily accommodated him.
review_8fc519c90267d549394edbcc :: He was very patient and we never felt rushed during the entire flight.
review_f63c57ac2ae27b8085da9201 :: Professional, engaging, humorous and patient."
terrific,极好的 / 太棒了,E1_E2_Candidate,terrific,ADJ|NOUN,5,4,"review_79b833d433db85183bfe559d :: Cannot remember the pilot, but he just had twins, so congrats and thanks for a terrific day and experience!
review_371d97ab086d05f4b8dd720f :: Our pilot patiently answered my nine-year-old's questions on the flight and took terrific pictures of us on the glacier.
review_ae2ecce2195633184719de13 :: Thank You Capt Anderson for being a terrific Pilot.
review_54ae5b5d8364deffe47809c6 :: The early morning plane ride was terrific, and as we had read before, it’s best to sit on the left side of the plane for the best views!
review_54ae5b5d8364deffe47809c6 :: Our rafting guide, Jerod, was really terrific; super knowledgeable and kept all the younger kids on the boat engaged!"
willing,乐意的 / 愿意的,E1_E2_Candidate,willing,ADJ,5,5,"review_6156ccd88f392b21de3b4908 :: I have been to the same resort 8 years in a row and we have flew into Vancouver then flew in from there to the resort by float plane and we have had issues in the past with planes, times,or just not willing to fly in if the weather/cloud ceilings were low.
review_f1afb11c14a20df3c0e654e1 :: They are certainly willing to spend time with you via email, over the phone,
review_585fd4de71474864f99ab2f5 :: The pilot had a terrible and rude attitude and was not willing to provide any conversation.
review_b4bead6114e21d906db86f66 :: My daughter got a little airsick and Steve was even willing to fly us to another spot if needed so she could, uh, take care of business with no one else around.
review_d18422a17e8d2b9406c1af63 :: Grand Canyon airlines picked us up from the hotel, and took us to the Boulder airport, the company is ridiculously well organized and every thing went flawless, once we landed at the Grand Canyon airport Jerry, the bus driver/tour guide was great, and more than willing to help out with pictures."
attentive,细心的 / 周到的,E1_E2_Candidate,attentive,ADJ,4,3,"review_50d0c427181c796477638983 :: All of the tour's employees were attentive, knowledgeable, and friendly.
review_6b1f41d7d9376e30f1be6051 :: Very responsive and very attentive (I think Trish).
review_6b1f41d7d9376e30f1be6051 :: One more thing, we had one child and Eric was very attentive to everyone.
review_69da5429c1af91d3cc871e44 :: The pilot was very attentive."
cheap,便宜的 / 廉价的,E1_E2_Candidate,cheap,ADJ,4,4,"review_61b1eca7654fb6e6ba4eee2b :: All the prices were pretty comparable - not cheap, but once in a lifetime event.
review_f513ccad486e4e6b27890911 :: Not cheap, however, do the math between your time, mileage, food, lodging, navigation issues and crowd interference.
review_6b104787c651e67fd89f534f :: They were all fun and the views were cool, but it wasn't cheap.
review_8526d5406704b59e5a5405e4 :: Yes it is not cheap but is something you will remember all your life."
confidence,信心 / 确信,E1_E2_Candidate,confidence,NOUN,4,3,"review_da9fe4b5f3a172a9954785e5 :: Our pilot, Quincy, allayed all my fears with his quiet confidence and then very obvious expertise,
review_26ab44db3f0b749f3156aee3 :: I had total confidence in him and was 100% certain We would have a successful flight.
review_dc71022ec47fe7e7dad91e8d :: My family is in aviation, and I had confidence in Josh, the young pilot, to fly but not in his decision on the seating, and no confidence in the manager, Brad, who bullied me for complaining and requesting a refund."
confident,自信的 / 确信的,E1_E2_Candidate,confident,ADJ|NOUN,4,4,"review_3ba1137cb1b4e9207840a231 :: The weather was challenging for the pilot,but he was smart and confident and overcome the winds on the lake.
review_b560092bfc34feb15f983896 :: Our pilot Aaron, was clearly very skilled, confident and experienced in flying the plane.
review_4a193749e12297241be1dc4e :: We were so confident with him.
review_5be4c5863c9f7e80dd250c6c :: Thoroughly enjoyed the flight, felt confident and st ease with our pilot ."
efficient,高效省心的,E1_E2_Candidate,efficient,ADJ,4,4,"review_5429f4ef0478bae9255d337b :: Everyone at Talkeetna Air Taxi was efficient, safety conscious and so helpful.
review_a158a996fb85a211763435ea :: When you first get off the bus, be sure to go right in and sit down for the safety video and hold off on going to the restroom until after because they like to be efficient.
review_03a8176b0cded4dbc878970a :: They are extremely professional and have a very efficient and accurate system for reservations and disseminating information needed to prepare for the flight.
review_442bd14270e4cf874af0ab43 :: The checkin and safety briefing process was thorough, yet efficient (quick)."
expert,专家级的 / 娴熟的,E1_E2_Candidate,expert,ADJ|NOUN,4,3,"review_a16674769364bddb39438f8b :: We departed Phoenix on our private 9-passenger plane with our expert guide and pilot, Captain Ron.
review_a70969c5180dcff4b504e3f5 :: The flyover was smooth all the way and the pilot was expert, friendly, and highly knowledgeable on the history and geology of the area.
review_442bd14270e4cf874af0ab43 :: And Mark also provided expert commentary on plants and wildlife that we encountered on the hike.
review_442bd14270e4cf874af0ab43 :: Taquan runs a great airline, they employ an enthusiastic and knowledgeable staff (including expert guides), and our safety was their priority from start to finish."
fine,良好的 / 优秀的,E1_E2_Candidate,fine,ADJ,4,4,"review_8f5e0f00afe0371683965f83 :: I popped a Dramamine an hour before the flight, but I probably would have been fine without it since pur pilot, Bruce, flew and landed the plane super smoothly--all while giving us lots of trivia and facts about Kauai!
review_0f50928b644eab8e69fd4905 :: So I need to choose only Denali Grand tour without Glacier landing which is fine cause they can not land on hard ice or weather contsraints.
review_f13d690b80448a831089b15d :: We had a small amount of turbulence, but we did fine.
review_2b9c272ff392f8ee6495f4ba :: If you are afraid of heights or prone to nausea, take a dramamine (gravol) tablet, but I was fine without it!"
fortunate,幸运的 / 幸运地,E1_E2_Candidate,fortunate,NOUN|ADJ,4,4,"review_e2dc2a31bed85af6df3536af :: Again there was only the two of us, which was fortunate, because it was a bit cool outside and normally everyone would be in open seats on the back, but because there wa only the two of us, we asked to sit in with the guide, which was worth it because he was able to talk to us, keep us informed, and answer our questions about the Navaho culture.
review_bab9df7e8bd9919aeef4816d :: Those fortunate enough to have been allocated front row seats had unrestricted views.
review_b560092bfc34feb15f983896 :: We happened to be flying on the last day of the Americas Cup race and being one of only three airborne vehicles (the other two being media helicopters) made the experience even more special, our pilot making the most of this occasion for his fortunate passengers.
review_f513ccad486e4e6b27890911 :: We were fortunate enough to have a private tour from Sedona to the Grand Canyon and back."
gorgeous,极其漂亮的 / 绚丽的,E1_E2_Candidate,gorgeous,ADJ,4,4,"review_7b76705a2666fc9f007a68b5 :: As we all stood and absorbed the gorgeous sights and listened to the glaciers sounding in the distance, all was right with the world!
review_1fc8f0c15a6fbe4082544da9 :: We saw a gorgeous ground rainbow as we were coming in for a landing.
review_8f77d9be32b5ec0139d85201 :: The view of the mountains were gorgeous and the plane captain provided humorous and knowledgeable commentary throughout the trip.
review_683e95f01306eac2d85eff49 :: We had a gorgeous clear day to see Mt McKinley in all its glory."
magical,神奇的 / 魔幻般的,E1_E2_Candidate,magical,ADJ,4,4,"review_4e12b4a1176793651a28a048 :: It was magical!
review_c42ba42468c6eebef97f3663 :: Flying over Misty Fjords was simply magical.
review_4a193749e12297241be1dc4e :: Fantastic flight moment with Devin who proposed us a very safety and magical discovering of the Canyon.
review_e01e7e33a2e53a8b8dad0eb6 :: The trip was magical."
majestic,雄伟的 / 壮丽的,E1_E2_Candidate,majestic,ADJ,4,4,"review_4ed9789654d1231bc278b4e3 :: Exceptional sights of majestic peaks and valleys.
review_5429f4ef0478bae9255d337b :: Words don’t describe the majestic beauty.
review_c285c2b8df79ecf7769b2695 :: While a little surprised at the noise level, I was awed at the majestic view.
review_ff53fc07f1b4dad74f413aa0 :: The feeling of being so close to these majestic mountains that were so far away from our hotel is amazing."
neat,整洁的 / 干练的,E1_E2_Candidate,neat,ADJ,4,4,"review_ced58d8c691f443c16cbfe37 :: Some of it was so technical I couldn't follow along but it was really neat.
review_6498ce79fc0b9213c772e5fc :: The mixture of rain and sun brought out rainbows time and time again, including a circular rainbow which was so neat and unique.
review_f486131a76d495cf9d39fbf2 :: We hiked a few trials and saw some of the sights earlier during the week and it was really neat to see the same sights from air: the Na Pali coast (via Kalalau trail), the Hanalei bay (via Alaka'i Swamp trail), the Waipo'o falls (via canyon trail).
review_bbdca525e695fbe2a6739745 :: And we got to see more of the Kaibab forest so that was neat."
nicely,很好地 / 优雅地,E1_E2_Candidate,nicely,ADV,4,4,"review_da8299d8fba78458a1318905 :: The food provided was good-- overall, this is a nicely comprehensive day and a great trio of ways to experience the Grand Canyon and around.
review_b27a5b6f0ee0a61ed67119b2 :: He should have mentioned nicely rather rudely.
review_bc094451a516daefa055857a :: This tour really allowed us to see something unique and fit into our travel plans nicely.
review_b000df598ef420c3db6a55b4 :: Their equipment is maintained nicely."
phenomenal,现象级震撼的 / 极佳的,E1_E2_Candidate,phenomenal,ADJ,4,3,"review_bbf12aaf52ffd1f8f514701a :: K2 was phenomenal at staying in communication with me when inclement conditions threatened our adventure.
review_bbf12aaf52ffd1f8f514701a :: K2 and Chris gave us a phenomenal experience, so good that even my young adult children who are impossible to impress were blown away.
review_50087c058cc38daa21b82926 :: The plane only holds 8 passengers, each with a phenomenal view.
review_ed42ef9dc4fa813cfcacdfdb :: Our pilot Mark was phenomenal; very skilled in flying, knowledgeable on the geography of the Grand Canyon, and entertaining."
pleasure,乐趣 / 愉悦,E1_E2_Candidate,pleasure,NOUN,4,4,"review_bbf12aaf52ffd1f8f514701a :: It was a pleasure flying with him.
review_d6633755ab0fe56676302484 :: Bryan, our pilot, was funny and a pleasure and Pua in reception was very sweet and helpful.
review_cdfb30308f4301fae846c380 :: We traveled to Friday Harbor and back to Seattle with Friday Harbor Seaplanes and they were accommodating and such a pleasure to deal with from start to finish.
review_f71dcbf52b93eb6e5b772372 :: It was such a pleasure dealing with Lesley."
polite,礼貌的 / 客气的,E1_E2_Candidate,polite,ADJ,4,4,"review_cbe4d099bc688920d0a3a2b9 :: I will say that Marcus was polite, professional and his landing was one of the softess I've ever experienced.
review_a49c3b4b417661efc807e243 :: Firstly, making a reservation by phone or online via their website is easy, painless, and Ellen replies promptly with the most polite and genuine response.
review_e7eff18ff9d70537c7037589 :: But then everything went great, he was very polite, and super fun
review_9685d4336920d0bca9a54784 :: From the moment I called them, they were helpful, polite and easy to schedule."
poor,贫乏的 / 差劲的,E1_E2_Candidate,poor,ADJ,4,4,"review_c97195f47230668478751e71 :: Because of poor weather our flight was delayed for 48 hours bu are we glad that eventually the weather improved and we could take up the seaplane tour of Miami.
review_b8ab433b6add39f65bbcf6a9 :: This excursion is a once in a lifetime event and should have been a wonderful memory, instead it was an expensive and poor experience.
review_442bd14270e4cf874af0ab43 :: However, due to our ship's limited time in port last year, along with poor tidal conditions, we were not able to actually get to the trail head and take our tour.
review_8c560b94d6af138e94a9483a :: They originally bumped our reservation due to poor weather (safety conditions) and we were given the option for rescheduling or getting a full refund."
prone,易患（晕机）的,E1_E2_Candidate,prone,NOUN|ADJ,4,4,"review_f486131a76d495cf9d39fbf2 :: We were concerned about the weather as it has been windy the whole week and my husband was prone to motion sickness.
review_cd27921d3895fc595fd53af3 :: There was a little turbulence in the air but not so much that it made anyone sick and one in our group was prone to the that.
review_1fc8f0c15a6fbe4082544da9 :: If you are prone to air sickness, it is highly recommended that you take some medication prior to boarding the plane.
review_2b9c272ff392f8ee6495f4ba :: If you are afraid of heights or prone to nausea, take a dramamine (gravol) tablet, but I was fine without it!"
rushed,仓促的 / 匆忙的,E1_E2_Candidate,rushed,VERB|ADJ,4,4,"review_f1afb11c14a20df3c0e654e1 :: The flight, smooth all the way, and not rushed.
review_75cdb4112994bd19ab8118d1 :: Due to being late the tour was rushed.
review_8fc519c90267d549394edbcc :: He was very patient and we never felt rushed during the entire flight.
review_856d2aa6a78e7be940af3eac :: - overall seemed a bit rushed."
steady,平稳的 / 稳健的,E1_E2_Candidate,steady,ADJ,4,4,"review_6c89ecdf05add32f2e5cb9a7 :: My pilot and guide Chris was knowledgeable, accommodating, skilled, and very friendly - his steady piloting and narration throughout the trip added to an already amazing trip.
review_a49c3b4b417661efc807e243 :: There are fantastic photo ops, which is beneficial because the flight is slower and steady, and you are up in the air for around 70 minutes.
review_72fc1a6808ccb03c5b86fa0a :: We didn't necessarily want all the ups and downs the choppers take, and enjoyed the steady and amazing flight our pilot Marcus provided.
review_b000df598ef420c3db6a55b4 :: He kept up a nice steady commentary of what we were seeing and interesting facts."
afraid,害怕的 / 恐惧的,E1_State (Direct Internal Affective State),afraid,ADJ,3,3,"review_232a87a44ddf7a8ae2f7daab :: We flew from the Grand Canyon airport and everything went like clockwork, BJ checked if he had anyone on board that was afraid of heights, and the trip was incredibly smooth, the helicopter had good visibility and seated 7 passengers though we only had 5 on our trip, an excellent insight into the canyon for our first glimpse.
review_a261345648e411dbe1e79210 :: I am afraid to fly but the flight and landings were so smooth.
review_2b9c272ff392f8ee6495f4ba :: If you are afraid of heights or prone to nausea, take a dramamine (gravol) tablet, but I was fine without it!"
apprehensive,忧虑的 / 不安的,E1_E2_Candidate,apprehensive,ADJ,3,3,"review_b26468480071052891dda30e :: Our pilot put my apprehensive wife at ease by making her his ""co-pilot"" and having her sit next to him.
review_8de5093de03f104bbd286daa :: I'm a nervous flyer so I was a little apprehensive about booking a helicopter flight but there was nothing to worry about.
review_683e95f01306eac2d85eff49 :: My sister was a little bit apprehensive about the flight in such a small plane but she was pleasantly surprised that it was not an issue at all."
blessed,感到有福的 / 幸运的,E1_State (Direct Internal Affective State),blessed,VERB,3,3,"review_2a211e66566d9506094042c7 :: We were blessed with a cloudless and BEAUTIFUL day.
review_b3ad77a1bb49a5eb337a6bd2 :: We were blessed with a clear blue sky and a unlimited viewing of the ice fields and mountains in Denali.
review_a59dc67812b2608297900b5b :: We were blessed with clear skies and a great pilot."
bothered,困扰的 / 烦心的,E1_E2_Candidate,bothered,VERB,3,3,"review_bab9df7e8bd9919aeef4816d :: In summary we did not consider back row middle seats were value for money and wished we had not bothered with the Helicopter Flight and spent more time enjoying the spectacular scenery on the ground.
review_6e1b32b84859070da88e0d06 :: If you get motion sick easily, you may find the ride too much, but not people wouldn't be bothered at all.
review_7bf3c13d8543ec467282785d :: The tour was awesome, great views of inner Alaska, the float plane was awesome, our pilot seemed bothered when we would ask a few questions, glad he knew how to fly the plane."
