word,chinese_translation,stage_origin,frequency_21215,review_count_21215,example_context
ethan,ethan,Stage Final (Full Corpus),22,15,"review_14beb949771ebdbe5b94c3f8 :: We had a great experience  with our Redtail flight over Canyonlands. Our pilot, Ethan was friendly and very informative.  Gave us a nice smooth flight with awesome views of the par..."
evident,evident,Stage 1 (500 Discovery),22,22,"review_28efb948a887db7190d66ddb :: Trip Reserved: Grand Canyon Deluxe with Hummer
Our Group: 2 families (4 adults, 2 teenage boys)

On a recent trip to Las Vegas, we wanted the views of the South Rim without the 9 h..."
exact,exact,Stage 1 (500 Discovery),22,22,review_f787dda90cfab2700bde4a08 :: Amazing Views of the surrounding area!! Found out at hotel pick up  we wouldn't be able to land on the glacier due to extreme fog.  Disappointed but understand they can't control t...
fantasy,fantasy,Stage 2 (2000 Expansion),22,21,"review_7109cbe731bb78e24ae1fde9 :: I had never been in a small craft before, so I was scared and relictant even as I buckled in while still on the tarmac. Even after the smooth take-off, and cruise past landmarks, I..."
feature,feature（名词/物理实体）,Stage 1 (500 Discovery),22,21,"review_f06c865894b4aef87a1785c4 :: This was an amazing experience!  From the moment we took off, we were in awe of the beauty of the Alaska Mountains and the pilot was very informative about the entire area and geol..."
fires,fires,Stage 1 (500 Discovery),22,20,"review_9483b5da7e10aa6f5ca5fcc9 :: We had enjoyable flights both directions, however, beware that smoke from forest fires up North or fog can delay your flights (especially in the a.m.)  We missed our SWA flight due..."
forced,forced,Stage 1 (500 Discovery),22,22,review_1934e80130c30527e3d501ef :: This is a top-notch operation. Everyone who works for this company is professional and thorough from the desk personnel to the pilot. We took the seaplane's 40 minute ride from the...
fourth,fourth,Stage 1 (500 Discovery),22,22,"review_182483adf502c67405c09314 :: Our second time with our pilot, and as amazing as the first time. We will do it a third and hopefully a fourth too. Exhilerating..."
fran,fran,Stage Final (Full Corpus),22,20,"review_828c606a3fddd0efae58a44d :: This is a must thing to do while you are visiting the island of Kauai......
Bruce was so proficient in the flying of his aircraft and the narrative he gave about the land.
Ellen hi..."
goggles,goggles (名词),Stage Final (Full Corpus),22,22,review_ca1546b68bc55db99365f649 :: We went on the flyer with glacier landing on Jul 1 - our 1pm flight was one of the firsts to be able to land on the glacier as the cloud cover cleared in time. We got the flyer dea...
graciously,graciously (副词),Stage Final (Full Corpus),22,22,"review_b74b1e78e9cd17594e7f98b2 :: Awesome experience for myself and three teenagers, all visiting the Pacific Northwest from Florida, first time ever in a Seaplane. Northwest Seaplanes in Renton really delivered! W..."
haleakala,haleakala,Stage Final (Full Corpus),22,21,review_58d18bdfc4dab43722a8e9bd :: This was an amazing one hour tour of the circle of the island and saw the Haleakala which was breathtaking. I’d recommend this!...
happens,happens（过程/动作动词）,Stage 1 (500 Discovery),22,22,review_b4f6e6952ce8c0eef1a9f875 :: I was really looking forward to this experience while in Alaska. k2 called us about an hour before our schedule led departure to let us know we cannot go to Denali due to the weath...
helens,helens (名词),Stage Final (Full Corpus),22,22,"review_698582e972230b4e628d43e5 :: Our pilot JP made our sightseeing flight “Quicksand Triangle” an unforgettable moment. Although the air was a bit milky due to forest fires, we were able to see Mt. Hood. Mt. Adams..."
images,images（名词/物理实体）,Stage 1 (500 Discovery),22,20,"review_81fbe1e1488a622dc56913e1 :: Eric is super easy going. The kind of guy you feel like you have known him for a while, even though we just met him. Flight needs no review. Just look at the images. Plane glides t..."
informing,informing,Stage 1 (500 Discovery),22,22,"review_fb43a7f5682e7abdf9145e38 :: Due to weather we were not able to do the flight we had booked, including landing on a glacier. I understand that the weather cannot be controlled. I do not understand however the ..."
intercom,intercom（名词/物理实体）,Stage 1 (500 Discovery),22,21,"review_fcc8dbecf6a51a4815070184 :: Our private air excursion on Taquan Air in a DeHavilland Beaver was definitely a highlight of our Alaska trip.  We had a gorgeous day, and the views of Misty Fjords were terrific. ..."
keys,keys (名词),Stage Final (Full Corpus),22,21,"review_b2576fd01f115d482238979b :: It was a great experience. We highly recommend to everyone going to Miami! This tour give a magnificent view of Miami and the Keys. Hegel, our pilot flew smoothly and showed us the..."
leanne,leanne,Stage Final (Full Corpus),22,19,review_4af2d9822d8f9626565e416d :: Wow!!! This was an AMAZING adventure for our whole family!  It was our daughter’s 16th birthday trip and what a fantastic way to see Denali. Everything about the flight was even be...
lifelong,lifelong (形容词),Stage Final (Full Corpus),22,22,review_d7fca874e119b2b38738c1af :: This is the highlight of my trip to Alaska and far exceeded my expectations- a fulfillment of a lifelong dream.  Chad is an amazing guide and pilot.  Very knowledgeable of the area...
luau,luau (名词),Stage Final (Full Corpus),22,17,"review_f902b13e18dcab74c23efb70 :: We went on the 4 p.m. Cessna ride on Thu, 10/9, the latest flight of the day.  This plane ride was phenomenal!  We visited the island as part of the Norwegian Cruise Line, Pride of..."
manage,manage（过程/动作动词）,Stage 1 (500 Discovery),22,22,"review_594da6548eb61d9d2ba01b7d :: I can't say enough about this amazing flight seeing experience. The staff at K2 were wonderful, they did their best to manage expectations regarding the weather and possibility of ..."
millie,millie,Stage Final (Full Corpus),22,20,review_49001210e8b52d81ac1df6f3 :: This is a must do for anyone visiting the island of Kauai.  The scenery and views that you get from taking this small plane is spectacular.  My friend and I were travelling on the ...
mounted,mounted (动词),Stage Final (Full Corpus),22,21,"review_0ed2cd2dbeb6a5694b143911 :: We were sailing Carnival and next to last port of call was Ketchikan.  We opted for the Neets Bay Bear Watch or tour... 
When we arrived to the float plane port, Taquan airlines wa..."
operate,operate (动词),Stage Final (Full Corpus),22,21,"review_b7518b6f4932fd55e1aa7978 :: I highly recommend this flightseeing tour. Its the yellow tour offered on the K2 aviation tour brochure. The whole process from speaking to a person at the office, booking the tour..."
partially,partially,Stage 1 (500 Discovery),22,22,"review_d9450e957f983d002ddc6edd :: It was a partially cloudy-raining day, but Laura took us around the rain and showed us the majestic beautiful of the 5 islands. She really made the ride feel extremely safe on the ..."
patience,patience（名词/物理实体）,Stage 1 (500 Discovery),22,21,"review_bd7a40dcab6132d8397b3326 :: Flying to San Juan with Friday Harbor Seaplanes is the best start to an island trip. From the booking, shuttle, reception and pilots, everyone is friendly efficient and helpful. Sp..."
phd,phd (名词),Stage Final (Full Corpus),22,21,"review_3c33ee8faefcf4b6e73c374c :: Flew with the owner, a PhD agronomist, and saw all of Kauai as can only be done from the air and benefited from his knowledge of the environment. Flew our adult family of four in t..."
postponed,postponed (动词),Stage Final (Full Corpus),22,22,"review_ba24282712adfa347ce624a7 :: Not scared at all due to the professional pilot. The views were indescribable, great experience. Monsoon rain and fog had us postponed our date, company was flexible, no problem in..."
prince,prince (名词),Stage Final (Full Corpus),22,21,"review_d579c7ce2ec144775d909031 :: My family and I booked a package tour with Friday Harbor Seaplanes and Western Prince Explorer Whale Watching. We all had a great and comfortable time on the flight, which felt saf..."
receptionist,receptionist（名词/物理实体）,Stage 1 (500 Discovery),22,22,"review_f2ca54d8c40cde99c66061bf :: it was an amazing experience. Staff was really nice and welcoming. Pilot was really experienced, he warned us before every bumps, it was really smooth. On the other side, the tour ..."
result,result (名词),Stage Final (Full Corpus),22,22,review_72d9c8056fd07697854926f3 :: Wow! The view and experience was wonderful! Our pilot was courteous and polite. He rotated the seating on the return trip so that everyone had the opportunity to have a front seat ...
savings,savings (名词),Stage Final (Full Corpus),22,21,review_d28c7101379cf893332b53c9 :: After several rainy ports we finally arrived in sunny Kethcikan.  Our flight the previous day in Skgway had been cancelled and they referred us to Taquan Air.  I was able to book a...
science,science (名词),Stage Final (Full Corpus),22,22,review_a4561aee65940a12f924189e :: Great experience flying with the kids. Capt. Eric gave us history and science lessons which the kids enjoyed. Plane is in great condition....
shoot,shoot,Stage 2 (2000 Expansion),22,22,review_bdf0c493f8a4c967f869e49c :: My wife and I thoroughly enjoyed the ride and pilot Eddie. Very smooth ride at 7500-9500 feet which can be below the canyon rim at times.  Excellent for taking aerial photos.  The ...
shuttled,shuttled,Stage 1 (500 Discovery),22,21,review_d3910360c69993615eb72c72 :: Our Pilot was so professional and made the whole experience fun! Even got shuttled to and from the train station. One of the best things I could’ve done while in Alaska. Thank you ...
smith,smith (名词),Stage Final (Full Corpus),22,21,review_80ff4ee40c159237301cb58d :: We went on the Magnificent Misty Fjords sea plane excursion while we were docked in Ketchikan.   It was spectacular to see the area.   You would never see this prestine area if you...
sooo,sooo,Stage Final (Full Corpus),22,21,review_18d7dc2b9795e6504d73f741 :: We had sooo much fun! It was an unforgettable experience and the pilot was really nice and experienced! I absolutely recommend it!😍...
suddenly,suddenly,Stage 1 (500 Discovery),22,20,"review_24a2cdf09e53fb9992c5133e :: If you are only able to visit the Grand Canyon once in your lifetime, make sure you book a tour through Maverick Helicopters! This was my first time in a helicopter and the flight ..."
supplied,supplied,Stage 1 (500 Discovery),22,22,"review_02b5b1f8fefa1ea278adc4c3 :: This was a fantastic way to see Misty Fjords National Monument.  It started out with a brief safety orientation then we were led to the float plane by our pilot, Dave Watson.  Afte..."
thick,thick,Stage 1 (500 Discovery),22,22,"review_3e469416bd13abffef6fc1f2 :: First of all the scenery is an 11 out of 10. Just stunning. You fly through mountain passes with granite faces, waterfalls, thick forests, lakes and land in a pristine fjord. It’s ..."
towering,towering,Stage 1 (500 Discovery),22,21,"review_04fd208f589836acd890f5f9 :: Visiting Ketchikan on a Regent cruise from Vancouver to Seward, I signed up for the Misty Fjords Seaplane Adventure, operated by Taquan Air. A great decision on my part! Our pilot,..."
turtles,turtles (名词),Stage Final (Full Corpus),22,21,"review_82bff0a334ad144f67ac3a40 :: We toured the Maui coast viewing turtles and waterfalls from 500 feet! An absolutely amazing experience my kids will never forget. Eric, our pilot was highly professional, very fri..."
upper,upper (名词),Stage Final (Full Corpus),22,20,review_85d6499b677eea59208c09e0 :: We saw that the weather was going to be clear for the several days that we were in Talkeetna (late August '16) and booked a flight-seeing tour with this company.  The weather was p...
wheel,wheel (名词),Stage Final (Full Corpus),22,21,"review_40865e1caf0cd8fcabae176c :: First of all, originally we wanted to do a helicopter ride. We were quoted like $400 per person so that would've been over $1.2K for all of us to SHARE a helicopter with random peo..."
writing,writing,Stage 1 (500 Discovery),22,22,"review_58ba87f9326f017e0b3399ae :: I hate to write a review in the midst of COVID for a small business, but unfortunately due to our experience I’m writing this in hopes that nobody else has the same experience. We ..."
yeah,yeah,Stage 1 (500 Discovery),22,22,"review_edaed8e122011447491eb68b :: Words cannot describe the magnificent beauty that can only be seen on an ""up close and personal"" trip such as this one!  Yeah, it costs a little, but it was definitely worth it for..."
action,动作 / 行动,Stage 2 (2000 Expansion),21,21,"review_ba09b2771e2b5a8d86a6e9a7 :: Eric was friendly and fun to fly with. He is super knowledgeable about Hawaii and its history, so it wasn't just ooh-ing and aah-ing with the different sights; we learned a lot abo..."
alike,alike,Stage 2 (2000 Expansion),21,21,review_e97289029bd9028c91544eea :: This experience was absolutely amazing! Eric took me and my boyfriend out for a sunset tour on my birthday and he did everything he could possibly do to make my day extra special. ...
aug,aug (名词),Stage Final (Full Corpus),21,20,"review_b686c62cbef3e5f833c9cc3b :: We booked a Denali flight and requested a pick-up from Talkeetna Alaskan Lodge in top Aug 2016. On that day, the flight has to be cancelled for bad weather but they still arrived t..."
bet,bet (名词),Stage Final (Full Corpus),21,20,review_183022f2eccbd30765a5fa83 :: What an awesome Company and such memorable adventure.   You must do this if ever in Seattle!   A Must!   Thank you Shane and Michelle for such a great trip.   You can bet I'll do t...
briefly,briefly,Stage 1 (500 Discovery),21,21,"review_7de314c9f8f75a3978451ae4 :: While the flight was safe and we did see what was expected, we were really disappointed overall. When I asked to use the bathroom they explained their bathroom was out of service a..."
btw,btw,Stage Final (Full Corpus),21,21,"review_1e2ed04d494f0ed469531978 :: Was struggling with how to take in Denali on a short trip, and this is definitely the way to do it.  Saw so much of the Alaska range, up close and personal, and a knowledgeable and..."
carry,携带 / 运载,Stage 2 (2000 Expansion),21,21,review_1e6bde0c3142b379dd5fd3c6 :: Excellent Adventure! We chose Friday Harbor Seaplanes for round trip flights during a five day visit to Friday Harbor. Top to bottom excellent experience with this company. Great c...
celebration,celebration (名词),Stage Final (Full Corpus),21,21,review_c3d49ed3d17fb4d732b67292 :: My husband and I enjoyed this as a part of celebration for our anniversary. The entire experience was wonderful with exception of having to wait over an hour for our take off time....
centre,centre (名词),Stage Final (Full Corpus),21,15,review_b663b185089984f92724578d :: I had a confirmed booked through Alaska Shore Tours for the Neets Bay Floatplane bear watch tour. At the time I was not aware that Alaska Shore Tours had subcontracted the tour to ...
chartered,chartered,Stage 1 (500 Discovery),21,20,"review_62973558ebb173e071202d4b :: For the last two years, my dog and I (along with friends and family) have flown both regular scheduled flights and  chartered flights from Renton to/from Gulf Islands, Desolation S..."
charters,charters (名词),Stage Final (Full Corpus),21,20,"review_b0947e0b6cd4d2f29eed878e :: One of the best charters I've ever taken. Gorgeous views of Denali. Landing on glacier was spectacular. Most importantly, K2's emphasis on safety...."
chatted,chatted (动词),Stage Final (Full Corpus),21,21,review_b9d715fbef96ba09496b6608 :: My son is stationed at JBER and I came to visit for Christmas. He surprised me with this flight tour and I was absolutely amazed at the experience. From the moment we arrived and c...
cheapest,cheapest,Stage 2 (2000 Expansion),21,21,review_cb42f6c37bbdbe4fb07bc829 :: One of the best experiences ever ! The pilot made the flight perfect and was extremely knowledgeable and made us feel really safe. We booked it at sunset and had the best views and...
clearer,更清晰的,Stage 2 (2000 Expansion),21,21,review_f0ee70e916abf202016e9784 :: It was the most expensive experience in Alaska and we had left half a day for the selected tour. After Memorial day they called the day of not enough people gathered for our tour s...
comfortably,comfortably (副词),Stage Final (Full Corpus),21,21,"review_fd0f8064c8d304a91a1a7613 :: My husband, adult son and I took the Maui Circle island Air Tour with Eric last week and thoroughly enjoyed every minute.  Eric is a seasoned pilot and his number one concern is th..."
competitors,competitors（名词/物理实体）,Stage 1 (500 Discovery),21,21,"review_413c9e3da01bce779cbb4f2c :: Looking for a company for a helicopter tour they are priced higher than their competitors. But Maverick also has the #1 safety record in the world; to me this was a no-brainer.

We..."
conditioning,conditioning (名词),Stage Final (Full Corpus),21,19,"review_be756d082c9857ee2d7f2a8b :: Had a blast! Eric was great and friendly, we had an awesome time flying over Volcanoes National Park and taking a pit stop in Hilo for lunch. 10/10 would definitely recommend! I’ve..."
condo,condo (名词),Stage Final (Full Corpus),21,20,review_0a18638cb5564b6d104a2220 :: Super trip to Maui for 8 days.  Stayed in Kihei and found the island incredibly interesting and accessible with a nice van for the four of us.  Rented a nice condo with excellent a...
consideration,consideration（名词/物理实体）,Stage 1 (500 Discovery),21,20,review_47d7b0a5b8ea4044b4793be0 :: We were told when we arrived at K2's very nice facility at the Talkeetna airport that due to weather our tour would be scaled back from the trip that circled Mt Denali and landed o...
deciding,deciding (名词),Stage Final (Full Corpus),21,21,"review_20443da247ec4485578ad3c1 :: My wife and I were on Maui for our honeymoon and decided to book a flight with Maui Plane Rides.  I guess I should say I decided to book it, and my wife gamely agreed to come along..."
deserves,deserves（过程/动作动词）,Stage 1 (500 Discovery),21,20,review_637b0b43ea5380f9cc4b150c :: I had a great time on the flight. I was able to ride shotgun both ways since I was a solo traveler. Bryce was very knowledgeable about the area and was super sweet when I got air s...
discounted,discounted (动词),Stage Final (Full Corpus),21,20,"review_52347e1e494c72afee91a465 :: My cousin told us that the very best use of our money in Alaska would be on a scenic flight around Mt. McKinley. Even though they are expensive, she told us they are worth every pe..."
dozen,dozen (名词),Stage Final (Full Corpus),21,20,review_33119b1873c2a6f4561ff17b :: An absolutely breathtaking and a new perspective of the five islands we’ve seen a dozen times from the ground but never from the air. Eric was a great guide and made sure we all go...
dozens,dozens (名词),Stage Final (Full Corpus),21,20,review_f90f4607b524c36446f6a2d3 :: By far the highlight of my son and I’s trip.  Smooth ride.  Saw dozens of whales.  Great views!!!!!!!!!!...
drivers,drivers (名词),Stage Final (Full Corpus),21,21,"review_3415d713b64f37203fd6ae3e :: Excellent experience! We did not do the glacier landing, and it was just our group and our pilot in the plane. Our pilot had a lot of interesting information about the area, and we..."
education,education（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_97cf2a9b8a57018e9409e91a :: Very good experience. I recommend this experience to anyone interested. I got to see the whole of miami seafront. Very Education. The pilot eduardo was extremely friendly and exper...
emergency,emergency（名词/物理实体）,Stage 1 (500 Discovery),21,20,review_4040be92eb15a7d195167b38 :: Flew into work at floating lodge. Very professional and friendly. Very safety conscious.  Pilot informed us on emergency procedure...
fiance,fiance (名词),Stage Final (Full Corpus),21,18,"review_a68db3cdc0b2d2e1f967754e :: My fiance and I had a breathtaking experience here, a smooth flight with a super friendly and easy going pilot. 

We wanted to see the Sea Cliffs of Molokai island, as we had heard..."
fleet,fleet,Stage 1 (500 Discovery),21,20,"review_384889e5a5cbf0c4319b03ea :: Having 37 years as an Airline Pilot, I've seen plenty, but landing on a glacier was one of the most memorable moments I've ever had.
Our pilot Jack was a true professional and I kn..."
flow,flow (名词),Stage Final (Full Corpus),21,20,review_64c7908f68d4f84efd504d41 :: Our family of 4 recently experienced this incredible flight around Mt. McKinley. It was a great experience to be so close to the ground and mountains where we could see the texture...
flowers,flowers（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_390a38b4827362031a6314b4 :: This was our second time flying with Jason. We took a family vacation last year to Alaska and we loved it so much that we came back this year. The one thing that we wanted to do ag...
flowing,flowing (名词),Stage Final (Full Corpus),21,20,review_2780dd1d15862b88b376fcec :: Was an unforgettable experience during my stay in Maui. The views were incredible and the owner/pilot Eric was wonderful. He really cares about providing a great experience and tol...
force,force（名词/物理实体）,Stage 1 (500 Discovery),21,21,"review_b1fce1762140aa1dda32a59a :: Having admired Denali from below for many years, it felt like time for a closer visit.  I'm so glad we did!  Got to see all the peaks, climbers on the move, Mountain House #1 and #..."
frame,frame（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_b1033f2fb31fe590f9c6babc :: Holland America had cancelled the booking we had made and paid for because of the accident a few days earlier which left 8 tourists and their pilot dead in a crash on a windy rainy...
gem,gem（名词/物理实体）,Stage 1 (500 Discovery),21,21,"review_cdeff045ddf327054057b792 :: Booked a trip to the Grand Canyon while we were in Scottsdale. Westwind Air was recommended by the hotel. What a great trip, our pilot Justin was incredible (I think he was 18 😂). ..."
giant,巨大的 / 巨型的,Stage 2 (2000 Expansion),21,21,"review_d7f741a66a3c8d5754fae265 :: Was lucky enough to get a flight lesson with ERIC! Took off from Maui,(amazing feeling), and flew across the Chanel to the 
big island ! His instruction was straightforward and eas..."
granted,顺理成章 / 给予,Stage 2 (2000 Expansion),21,19,"review_cd9421104953777005a4ba67 :: The Denali grand tour with glacier landing was truly spectacular! Granted, we had a rare completely clear day, but even with partial clouds, it would be beautiful almost beyond des..."
horse,horse (名词),Stage Final (Full Corpus),21,20,"review_efe3f4d2f8e467b7d8f1eaee :: Both from the air and ground antelope canyon ,horse shoe bend and the air tour were awesome.The guides were very skilled, < buffalo and justice > they take great pride in there her..."
hovering,hovering (动词),Stage Final (Full Corpus),21,21,"review_a179eec525b2a4dc7db850a9 :: This was a once-in-a-lifetime experience. Helicopters can’t go where we went today and bigger planes can’t either but this small plane known as the Piper, was able to caress the sh..."
human,human,Stage 1 (500 Discovery),21,21,"review_bab7f7cc358ec4ceac7b8c73 :: We got food poisoning the day before the scheduled flight. We sent them the email and call to ask them to refund back, since we are in such a condition. They didnt answer at all, t..."
lanai,lanai (名词),Stage Final (Full Corpus),21,17,"review_254f46e4a5fb0f6c7e0c50cd :: I am rewriting this review, as my first review was softly forced.  The pilot stopped the golf cart near the hangars and asked us to click the links and do the review on the spot…an..."
lets,lets（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
lindsay,lindsay (名词),Stage Final (Full Corpus),21,12,"review_3950862ce5847be16e983139 :: Everything about the Grand Canyon Signature Tour was perfect. Lindsay made booking easy and made us comfortable when we arrived. Our pilot Steven was excellent, made us feel comfor..."
machine,machine (名词),Stage Final (Full Corpus),21,19,"review_89c3891c39b10492ae13756e :: Excellent!  Well done tour.  Went on the Ultimate Adventure and one of the best experiences ever.  Never felt pressured or rushed and yet, never waited or was bored.  Ran like a we..."
maneuvers,maneuvers（名词/物理实体）,Stage 1 (500 Discovery),21,21,"review_6fbeaf457ee807a3d63481cd :: This was the once-in-a-lifetime trip for my wife and son to see Mt. McKinley/Denali and we had an AWESOME time.  The pilot, Pat A., had over 17,000 flight hours and made sure we we..."
optional,optional (形容词),Stage Final (Full Corpus),21,20,review_9650dd6c136936de202ba6c4 :: This was a great day. The pilot did an awesome job after we hit severe turbulence over the Grand Canyon. The ground tour was great as well and in spite of less than perfect weather...
orcas,orcas (名词),Stage Final (Full Corpus),21,19,"review_d533d4bd5291303296035ead :: It was a beautiful clear day and we were able to see so many things! Views of downtown Seattle and the sky line, Puget Sound, San Juan Islands. On the way to Friday Harbour we saw ..."
paperwork,paperwork (名词),Stage Final (Full Corpus),21,21,"review_4511133a8ef35ba847a7d3a6 :: Beautiful flight, confused office staff and dishonest pilot took away from what could've been an amazing experience!  Doing a land tour on our own prior to a cruise, we decided we ..."
phoned,phoned,Stage 1 (500 Discovery),21,17,"review_6aacd697959161f6b7fb0f74 :: We booked the Summit Flight with Glacier Landing, but it was cancelled due to bad weather. We were kept informed at all times which we appreciated, and they phoned to inform of the..."
pools,pools (名词),Stage Final (Full Corpus),21,21,review_84f4c7aa6196cf3f42404a7e :: Thanks to Shahd for finding us good rooms for staying. There were 5 of us (one little child) and it was very important to stay far away from the pools and two rooms close to each o...
posted,posted,Stage 1 (500 Discovery),21,20,"review_89e5de5165fe9b07fc56567b :: The same group of us went on another Alaskan fly in hunt in 2015. We posted the review in August 2014 titled ""Top Notch Service"". If I could figure out how to remove the review fro..."
preparing,preparing (动词),Stage Final (Full Corpus),21,21,"review_213fac7084fb13bf5531e47f :: This was the most amazing experience we have ever had. Leaving the earth in a beautiful, classic bush plane from the 1950’s. Our pilot, Maury, was clearly in love with the plane an..."
pushed,pushed,Stage 2 (2000 Expansion),21,20,"review_839e0560238a0af9aac3153f :: I am a terrible flier. As in PETRIFIED.  Somehow, though, this clean, well kept little dock caught my eye as my husband and I drove into Talkeetna for one overnight. Despite my fea..."
qualified,qualified,Stage 1 (500 Discovery),21,20,review_87332c88e079b95eec25a138 :: 10 passenger plane with a window at every seat.  Views of the canyon from the aircraft were breathtaking.   The pilot was professional and seemed well qualified.   The check-in guy...
rapids,rapids (名词),Stage Final (Full Corpus),21,21,review_fd9285c5380b880bea64057f :: Enjoyed seeing better view of the Colorado River. Seeing the Rapids was cool. The pilot and copilot were pleasant people. The greeter was nice and helpful....
rays,rays (名词),Stage Final (Full Corpus),21,20,"review_bbc77cee2838d03cea7507bc :: The scenery was terrific, but the exciting aspect of our trip was actually landing on the glacier.  On September 8, 2021, the sun was playing tag with fluffy white clouds. When we ..."
responded,回应 / 答复,Stage 2 (2000 Expansion),21,21,"review_74dba15afd44c334f5c0fc8d :: K2 did a great job.  Very big operation but runs like a well-oiled machine.  We left on time, had a great trip, and saw amazing views.  I had to email them several times in advance..."
restrictions,restrictions (名词),Stage Final (Full Corpus),21,21,review_d00c46af140a4c3c3f8c96d4 :: We didn’t get to go. It was canceled.   The did call. Offered options but being out of town we had time restrictions.  They are giving a full refund...
rows,rows（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_348b4aff02fdf2a7c1edf068 :: We had a once in a lifetime experience on Westwind's Signature Grand Canyon South and Ground Tour. I have a terrible fear of flying but I was desperate to be able to do this tour. ...
sandwich,sandwich（名词/物理实体）,Stage 1 (500 Discovery),21,20,"review_28efb948a887db7190d66ddb :: Trip Reserved: Grand Canyon Deluxe with Hummer
Our Group: 2 families (4 adults, 2 teenage boys)

On a recent trip to Las Vegas, we wanted the views of the South Rim without the 9 h..."
sees,sees（名词/物理实体）,Stage 1 (500 Discovery),21,21,review_3368b95319a6f91c706ed2dd :: We just had an experience of a lifetime! Chuck is the only pilot you want! Over 20 years experience and he took us off the canned tour to awesome spots no one else sees. We landed ...
seward,seward (名词),Stage Final (Full Corpus),21,21,"review_8e1af8000ba5c001e2a26423 :: AMAZING! Booked our tour for a brief break in our drive from Denali to Seward, hoping to see the mountain. We were told upon arrival that they would be willing to book us in a late..."
significant,significant,Stage 1 (500 Discovery),21,20,"review_cbab846b5b59c8368b1f496c :: A truly amazing experience! We almost went with a different tour that was available for purchase through Costco, but were happy we stuck with this one because of its uniqueness.  T..."
somewhere,某处 / 某些地方,Stage 2 (2000 Expansion),21,20,"review_5a4a40e8554def10da4952e6 :: Very helpful, safe, and most importantly super romantic.
I booked it for my wife’s birthday, we got everything we wanted, even tho we were a little bit late because of Uber driver ..."
soooo,soooo,Stage Final (Full Corpus),21,21,review_fdde95a34d56f978c81346e9 :: This was a fantastic experience!  To see the sheer beauty and majesty of Mt. Denali and Denali National Park from the air is unbelievable. Words and pictures don't do it justice. I...
stepping,stepping,Stage 1 (500 Discovery),21,21,"review_800a1884e08bc2cae2aeeb76 :: Our pilot, Clark, is a lifetime resident of Ketchikan and was a wonderful guide with local knowledge of the area. The highlight was an isolated lake landing, stepping out onto the ..."
stopping,stopping,Stage 1 (500 Discovery),21,21,"review_c8c7b840915ebe2020cc905a :: Great service.  The narrated fly over the Canyon was helpful, our pilot added great information and all went well.  The ground tour by Jeep/Hummer was very good.  Our guide was so ..."
strapped,strapped (动词),Stage Final (Full Corpus),21,21,"review_ad012804d7d278334900b707 :: myself and 3 friends boarded the plane, strapped in and got the safety instructions. when the pilot went to start the plane there was mechanical failure. we were told 15-30 minutes..."
surprises,surprises,Stage 1 (500 Discovery),21,21,review_3af7d673ddd3268eb2f3b198 :: This is about as intimate of a personal tour by small plane you could ever find! Awe-inspiring views you can't see any other way but by air and some one-of-a-kind surprises you did...
trevor,trevor,Stage Final (Full Corpus),21,16,"review_51ac246d2ba1b264a21063e6 :: Took a seaplane to get to a location known for black bears.  Excellent trip with our young pilot Trevor.  Wildlife sightings are never guaranteed, and the group before us didn’t se..."
ups,ups（过程/动作动词）,Stage 1 (500 Discovery),21,21,review_f46f91bfd12212ad73586586 :: It was the first trip to Alaska for my husband and me. We elected the option to fly over the three glaciers in order to get a close up look of the glaciers and surrounding mountain...
versus,versus（中性词）,Stage 1 (500 Discovery),21,21,"review_ab6b9c222611f4c8c959cac3 :: We had a great flight today with Laura. The weather was great and the information on the islands was interesting, we learned a lot. My husband really enjoyed flying and Laura gave ..."
whenever,whenever,Stage Final (Full Corpus),21,21,review_06c044ec0fed5896a4003590 :: It's been my dream to see orcas in the wild (as it should be) so I figured the easiest way to San Juan islands was by plane. I couldn't have been happier.  Jason flew us to the isl...
whim,突发奇想 / 冲动,Stage 2 (2000 Expansion),21,21,review_dbc5bbfdf1c66db673acc75b :: Eric was amazing! I went with my mom and brother on a whim and we flew from Maui to Honolulu. Eric let us co-pilot! Hands down this was one of the best days of my life and definite...
acted,acted,Stage 1 (500 Discovery),20,20,"review_69a433d49d93370da796619b :: My partner and I had this wonderful experience since we were on vacation in Miami, and it seemed like a nice idea to do a nice aerial tour. Once we entered the airport it was not e..."
additionally,additionally,Stage 1 (500 Discovery),20,19,"review_5958faa10515526121bc18aa :: We ((4) 30-something adults) signed up for the Explore Denali 1.2, but were unable to do it due to weather. We ended up doing the 1.0 exploration plus the additional Glacier Lake L..."
altitudes,altitudes (名词),Stage Final (Full Corpus),20,19,review_1e6bde0c3142b379dd5fd3c6 :: Excellent Adventure! We chose Friday Harbor Seaplanes for round trip flights during a five day visit to Friday Harbor. Top to bottom excellent experience with this company. Great c...
